"STN","STARTT","STOPT","LOCATIE","STN_HOOGTE","STN_POS_X","STN_POS_Y","STN_POS_NB","STN_POS_OL"
10,18720601,99991231,"Hollum",1.4,171.6,605.6,53.4,5.6
11,18760102,99991231,"West-Terschelling",7,143.6,597.7,53.3,5.2
12,18791001,99991231,"Schiermonnikoog",2.2,207.9,610.2,53.4,6.1
15,18850516,99991231,"Oost-Vlieland",5,133.2,589.7,53.2,5.0
16,18910401,99991231,"Petten",0.4,105.4,530.6,52.7,4.6
17,18941121,99991231,"Den-Burg",2.19,115.8,562.6,53.0,4.8
18,19160801,99991231,"Nes (Ameland)",2.9,182.0,606.8,53.4,5.7
19,19290701,99991231,"De Cocksdorp",1.89,120.6,574.5,53.1,4.8
21,19401001,99991231,"Callantsoog",0.9,109.1,539.1,52.8,4.7
22,19500715,99991231,"De Koog",0.76,114.5,567.9,53.0,4.7
24,19560101,99991231,"Vlieland",4.75,125.1,585.1,53.2,4.9
25,19580401,99991231,"De Kooy",0.42,114.4,546.0,52.9,4.7
26,19610101,99991231,"Formerum",1.8,149.4,600.2,53.3,5.3
61,19910601,99991231,"Skrins",0.1,172.4,570.4,53.1,5.6
64,18660913,99991231,"Sneek",-0.3,171.8,560.4,53.0,5.6
65,18690702,99991231,"Makkum",-0.42,155.7,563.4,53.0,5.3
66,18720201,99991231,"Harlingen",3.1,157.1,576.8,53.1,5.4
67,18880201,99991231,"Dokkum",0.9,194.5,592.5,53.3,5.9
68,19111105,99991231,"St,Anna,Parochie",1.1,173.4,587.9,53.2,5.6
69,19110902,99991231,"Appelscha",9.24,219.4,552.7,52.9,6.3
70,19560101,99991231,"Oudemirdum",0.82,163.1,541.4,52.8,5.5
73,19260601,99991231,"Drachten",2.7,202.1,570.2,53.1,6.0
75,19280602,99991231,"Oldeholtpade",0.6,199.8,544.9,52.8,6.0
76,19290314,99991231,"Kornwerderzand",3.9,151.7,564.7,53.0,5.3
77,19370502,99991231,"Kollum",1.1,205.1,588.0,53.2,6.1
78,19610101,99991231,"Herbayum",-0.6,163.1,577.2,53.1,5.5
79,19420502,99991231,"Heeg",-10,169.6,553.6,52.9,5.6
80,19430402,99991231,"Stavoren",1.3,152.9,544.0,52.8,5.3
81,19480602,99991231,"Joure",0.8,184.2,553.2,52.9,5.8
82,19490502,99991231,"Gorredijk",-0.7,198.4,558.2,53.0,6.0
84,19501130,99991231,"Ezumazijl",0.1,205.6,597.1,53.3,6.1
85,18760101,99991231,"Leeuwarden",0.9,177.8,581.2,53.2,5.7
86,19520601,99991231,"Nijbeets",-2,195.6,563.4,53.0,5.9
87,19520601,99991231,"Bergumerdam",1.86,196.6,576.7,53.1,6.0
89,19951001,99991231,"Akkrum",-0.1,183.9,563.2,53.0,5.8
