# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   RH, EV24
# 
  350,19510101,     ,     
  350,19510102,     ,     
  350,19510103,     ,     
  350,19510104,     ,     
  350,19510105,     ,     
  350,19510106,     ,     
  350,19510107,     ,     
  350,19510108,     ,     
  350,19510109,     ,     
  350,19510110,     ,     
  350,19510111,     ,     
  350,19510112,     ,     
  350,19510113,     ,     
  350,19510114,     ,     
  350,19510115,     ,     
  350,19510116,     ,     
  350,19510117,     ,     
  350,19510118,     ,     
  350,19510119,     ,     
  350,19510120,     ,     
  350,19510121,     ,     
  350,19510122,     ,     
  350,19510123,     ,     
  350,19510124,     ,     
  350,19510125,     ,     
  350,19510126,     ,     
  350,19510127,     ,     
  350,19510128,     ,     
  350,19510129,     ,     
  350,19510130,     ,     
  350,19510131,     ,     
  350,19510201,     ,     
  350,19510202,     ,     
  350,19510203,     ,     
  350,19510204,     ,     
  350,19510205,     ,     
  350,19510206,     ,     
  350,19510207,     ,     
  350,19510208,     ,     
  350,19510209,     ,     
  350,19510210,     ,     
  350,19510211,     ,     
  350,19510212,     ,     
  350,19510213,     ,     
  350,19510214,     ,     
  350,19510215,     ,     
  350,19510216,     ,     
  350,19510217,     ,     
  350,19510218,     ,     
  350,19510219,     ,     
  350,19510220,     ,     
  350,19510221,     ,     
  350,19510222,     ,     
  350,19510223,     ,     
  350,19510224,     ,     
  350,19510225,     ,     
  350,19510226,     ,     
  350,19510227,     ,     
  350,19510228,     ,     
  350,19510301,     ,     
  350,19510302,     ,     
  350,19510303,     ,     
  350,19510304,     ,     
  350,19510305,     ,     
  350,19510306,     ,     
  350,19510307,     ,     
  350,19510308,     ,     
  350,19510309,     ,     
  350,19510310,     ,     
  350,19510311,     ,     
  350,19510312,     ,     
  350,19510313,     ,     
  350,19510314,     ,     
  350,19510315,     ,     
  350,19510316,     ,     
  350,19510317,     ,     
  350,19510318,     ,     
  350,19510319,     ,     
  350,19510320,     ,     
  350,19510321,     ,     
  350,19510322,     ,     
  350,19510323,     ,     
  350,19510324,     ,     
  350,19510325,     ,     
  350,19510326,     ,     
  350,19510327,     ,     
  350,19510328,     ,     
  350,19510329,     ,     
  350,19510330,     ,     
  350,19510331,     ,     
  350,19510401,     ,     
  350,19510402,     ,     
  350,19510403,     ,     
  350,19510404,     ,     
  350,19510405,     ,     
  350,19510406,     ,     
  350,19510407,     ,     
  350,19510408,     ,     
  350,19510409,     ,     
  350,19510410,     ,     
  350,19510411,     ,     
  350,19510412,     ,     
  350,19510413,     ,     
  350,19510414,     ,     
  350,19510415,     ,     
  350,19510416,     ,     
  350,19510417,     ,     
  350,19510418,     ,     
  350,19510419,     ,     
  350,19510420,     ,     
  350,19510421,     ,     
  350,19510422,     ,     
  350,19510423,     ,     
  350,19510424,     ,     
  350,19510425,     ,     
  350,19510426,     ,     
  350,19510427,     ,     
  350,19510428,     ,     
  350,19510429,     ,     
  350,19510430,     ,     
  350,19510501,     ,     
  350,19510502,     ,     
  350,19510503,     ,     
  350,19510504,     ,     
  350,19510505,     ,     
  350,19510506,     ,     
  350,19510507,     ,     
  350,19510508,     ,     
  350,19510509,     ,     
  350,19510510,     ,     
  350,19510511,     ,     
  350,19510512,     ,     
  350,19510513,     ,     
  350,19510514,     ,     
  350,19510515,     ,     
  350,19510516,     ,     
  350,19510517,     ,     
  350,19510518,     ,     
  350,19510519,     ,     
  350,19510520,     ,     
  350,19510521,     ,     
  350,19510522,     ,     
  350,19510523,     ,     
  350,19510524,     ,     
  350,19510525,     ,     
  350,19510526,     ,     
  350,19510527,     ,     
  350,19510528,     ,     
  350,19510529,     ,     
  350,19510530,     ,     
  350,19510531,     ,     
  350,19510601,     ,     
  350,19510602,     ,     
  350,19510603,     ,     
  350,19510604,     ,     
  350,19510605,     ,     
  350,19510606,     ,     
  350,19510607,     ,     
  350,19510608,     ,     
  350,19510609,     ,     
  350,19510610,     ,     
  350,19510611,     ,     
  350,19510612,     ,     
  350,19510613,     ,     
  350,19510614,     ,     
  350,19510615,     ,     
  350,19510616,     ,     
  350,19510617,     ,     
  350,19510618,     ,     
  350,19510619,     ,     
  350,19510620,     ,     
  350,19510621,     ,     
  350,19510622,     ,     
  350,19510623,     ,     
  350,19510624,     ,     
  350,19510625,     ,     
  350,19510626,     ,     
  350,19510627,     ,     
  350,19510628,     ,     
  350,19510629,     ,     
  350,19510630,     ,     
  350,19510701,     ,     
  350,19510702,     ,     
  350,19510703,     ,     
  350,19510704,     ,     
  350,19510705,     ,     
  350,19510706,     ,     
  350,19510707,     ,     
  350,19510708,     ,     
  350,19510709,     ,     
  350,19510710,     ,     
  350,19510711,     ,     
  350,19510712,     ,     
  350,19510713,     ,     
  350,19510714,     ,     
  350,19510715,     ,     
  350,19510716,     ,     
  350,19510717,     ,     
  350,19510718,     ,     
  350,19510719,     ,     
  350,19510720,     ,     
  350,19510721,     ,     
  350,19510722,     ,     
  350,19510723,     ,     
  350,19510724,     ,     
  350,19510725,     ,     
  350,19510726,     ,     
  350,19510727,     ,     
  350,19510728,     ,     
  350,19510729,     ,     
  350,19510730,     ,     
  350,19510731,     ,     
  350,19510801,     ,     
  350,19510802,     ,     
  350,19510803,     ,     
  350,19510804,     ,     
  350,19510805,     ,     
  350,19510806,     ,     
  350,19510807,     ,     
  350,19510808,     ,     
  350,19510809,     ,     
  350,19510810,     ,     
  350,19510811,     ,     
  350,19510812,     ,     
  350,19510813,     ,     
  350,19510814,     ,     
  350,19510815,     ,     
  350,19510816,     ,     
  350,19510817,     ,     
  350,19510818,     ,     
  350,19510819,     ,     
  350,19510820,     ,     
  350,19510821,     ,     
  350,19510822,     ,     
  350,19510823,     ,     
  350,19510824,     ,     
  350,19510825,     ,     
  350,19510826,     ,     
  350,19510827,     ,     
  350,19510828,     ,     
  350,19510829,     ,     
  350,19510830,     ,     
  350,19510831,     ,     
  350,19510901,     ,     
  350,19510902,     ,     
  350,19510903,     ,     
  350,19510904,     ,     
  350,19510905,     ,     
  350,19510906,     ,     
  350,19510907,     ,     
  350,19510908,     ,     
  350,19510909,     ,     
  350,19510910,     ,     
  350,19510911,     ,     
  350,19510912,     ,     
  350,19510913,     ,     
  350,19510914,     ,     
  350,19510915,     ,     
  350,19510916,     ,     
  350,19510917,     ,     
  350,19510918,     ,     
  350,19510919,     ,     
  350,19510920,     ,     
  350,19510921,     ,     
  350,19510922,     ,     
  350,19510923,     ,     
  350,19510924,     ,     
  350,19510925,     ,     
  350,19510926,     ,     
  350,19510927,     ,     
  350,19510928,     ,     
  350,19510929,     ,     
  350,19510930,     ,     
  350,19511001,     ,     
  350,19511002,     ,     
  350,19511003,     ,     
  350,19511004,     ,     
  350,19511005,     ,     
  350,19511006,     ,     
  350,19511007,     ,     
  350,19511008,     ,     
  350,19511009,     ,     
  350,19511010,     ,     
  350,19511011,     ,     
  350,19511012,     ,     
  350,19511013,     ,     
  350,19511014,     ,     
  350,19511015,     ,     
  350,19511016,     ,     
  350,19511017,     ,     
  350,19511018,     ,     
  350,19511019,     ,     
  350,19511020,     ,     
  350,19511021,     ,     
  350,19511022,     ,     
  350,19511023,     ,     
  350,19511024,     ,     
  350,19511025,     ,     
  350,19511026,     ,     
  350,19511027,     ,     
  350,19511028,     ,     
  350,19511029,     ,     
  350,19511030,     ,     
  350,19511031,     ,     
  350,19511101,     ,     
  350,19511102,     ,     
  350,19511103,     ,     
  350,19511104,     ,     
  350,19511105,     ,     
  350,19511106,     ,     
  350,19511107,     ,     
  350,19511108,     ,     
  350,19511109,     ,     
  350,19511110,     ,     
  350,19511111,     ,     
  350,19511112,     ,     
  350,19511113,     ,     
  350,19511114,     ,     
  350,19511115,     ,     
  350,19511116,     ,     
  350,19511117,     ,     
  350,19511118,     ,     
  350,19511119,     ,     
  350,19511120,     ,     
  350,19511121,     ,     
  350,19511122,     ,     
  350,19511123,     ,     
  350,19511124,     ,     
  350,19511125,     ,     
  350,19511126,     ,     
  350,19511127,     ,     
  350,19511128,     ,     
  350,19511129,     ,     
  350,19511130,     ,     
  350,19511201,     ,     
  350,19511202,     ,     
  350,19511203,     ,     
  350,19511204,     ,     
  350,19511205,     ,     
  350,19511206,     ,     
  350,19511207,     ,     
  350,19511208,     ,     
  350,19511209,     ,     
  350,19511210,     ,     
  350,19511211,     ,     
  350,19511212,     ,     
  350,19511213,     ,     
  350,19511214,     ,     
  350,19511215,     ,     
  350,19511216,     ,     
  350,19511217,     ,     
  350,19511218,     ,     
  350,19511219,     ,     
  350,19511220,     ,     
  350,19511221,     ,     
  350,19511222,     ,     
  350,19511223,     ,     
  350,19511224,     ,     
  350,19511225,     ,     
  350,19511226,     ,     
  350,19511227,     ,     
  350,19511228,     ,     
  350,19511229,     ,     
  350,19511230,     ,     
  350,19511231,     ,     
  350,19520101,     ,     
  350,19520102,     ,     
  350,19520103,     ,     
  350,19520104,     ,     
  350,19520105,     ,     
  350,19520106,     ,     
  350,19520107,     ,     
  350,19520108,     ,     
  350,19520109,     ,     
  350,19520110,     ,     
  350,19520111,     ,     
  350,19520112,     ,     
  350,19520113,     ,     
  350,19520114,     ,     
  350,19520115,     ,     
  350,19520116,     ,     
  350,19520117,     ,     
  350,19520118,     ,     
  350,19520119,     ,     
  350,19520120,     ,     
  350,19520121,     ,     
  350,19520122,     ,     
  350,19520123,     ,     
  350,19520124,     ,     
  350,19520125,     ,     
  350,19520126,     ,     
  350,19520127,     ,     
  350,19520128,     ,     
  350,19520129,     ,     
  350,19520130,     ,     
  350,19520131,     ,     
  350,19520201,     ,     
  350,19520202,     ,     
  350,19520203,     ,     
  350,19520204,     ,     
  350,19520205,     ,     
  350,19520206,     ,     
  350,19520207,     ,     
  350,19520208,     ,     
  350,19520209,     ,     
  350,19520210,     ,     
  350,19520211,     ,     
  350,19520212,     ,     
  350,19520213,     ,     
  350,19520214,     ,     
  350,19520215,     ,     
  350,19520216,     ,     
  350,19520217,     ,     
  350,19520218,     ,     
  350,19520219,     ,     
  350,19520220,     ,     
  350,19520221,     ,     
  350,19520222,     ,     
  350,19520223,     ,     
  350,19520224,     ,     
  350,19520225,     ,     
  350,19520226,     ,     
  350,19520227,     ,     
  350,19520228,     ,     
  350,19520229,     ,     
  350,19520301,     ,     
  350,19520302,     ,     
  350,19520303,     ,     
  350,19520304,     ,     
  350,19520305,     ,     
  350,19520306,     ,     
  350,19520307,     ,     
  350,19520308,     ,     
  350,19520309,     ,     
  350,19520310,     ,     
  350,19520311,     ,     
  350,19520312,     ,     
  350,19520313,     ,     
  350,19520314,     ,     
  350,19520315,     ,     
  350,19520316,     ,     
  350,19520317,     ,     
  350,19520318,     ,     
  350,19520319,     ,     
  350,19520320,     ,     
  350,19520321,     ,     
  350,19520322,     ,     
  350,19520323,     ,     
  350,19520324,     ,     
  350,19520325,     ,     
  350,19520326,     ,     
  350,19520327,     ,     
  350,19520328,     ,     
  350,19520329,     ,     
  350,19520330,     ,     
  350,19520331,     ,     
  350,19520401,     ,     
  350,19520402,     ,     
  350,19520403,     ,     
  350,19520404,     ,     
  350,19520405,     ,     
  350,19520406,     ,     
  350,19520407,     ,     
  350,19520408,     ,     
  350,19520409,     ,     
  350,19520410,     ,     
  350,19520411,     ,     
  350,19520412,     ,     
  350,19520413,     ,     
  350,19520414,     ,     
  350,19520415,     ,     
  350,19520416,     ,     
  350,19520417,     ,     
  350,19520418,     ,     
  350,19520419,     ,     
  350,19520420,     ,     
  350,19520421,     ,     
  350,19520422,     ,     
  350,19520423,     ,     
  350,19520424,     ,     
  350,19520425,     ,     
  350,19520426,     ,     
  350,19520427,     ,     
  350,19520428,     ,     
  350,19520429,     ,     
  350,19520430,     ,     
  350,19520501,     ,     
  350,19520502,     ,     
  350,19520503,     ,     
  350,19520504,     ,     
  350,19520505,     ,     
  350,19520506,     ,     
  350,19520507,     ,     
  350,19520508,     ,     
  350,19520509,     ,     
  350,19520510,     ,     
  350,19520511,     ,     
  350,19520512,     ,     
  350,19520513,     ,     
  350,19520514,     ,     
  350,19520515,     ,     
  350,19520516,     ,     
  350,19520517,     ,     
  350,19520518,     ,     
  350,19520519,     ,     
  350,19520520,     ,     
  350,19520521,     ,     
  350,19520522,     ,     
  350,19520523,     ,     
  350,19520524,     ,     
  350,19520525,     ,     
  350,19520526,     ,     
  350,19520527,     ,     
  350,19520528,     ,     
  350,19520529,     ,     
  350,19520530,     ,     
  350,19520531,     ,     
  350,19520601,     ,     
  350,19520602,     ,     
  350,19520603,     ,     
  350,19520604,     ,     
  350,19520605,     ,     
  350,19520606,     ,     
  350,19520607,     ,     
  350,19520608,     ,     
  350,19520609,     ,     
  350,19520610,     ,     
  350,19520611,     ,     
  350,19520612,     ,     
  350,19520613,     ,     
  350,19520614,     ,     
  350,19520615,     ,     
  350,19520616,     ,     
  350,19520617,     ,     
  350,19520618,     ,     
  350,19520619,     ,     
  350,19520620,     ,     
  350,19520621,     ,     
  350,19520622,     ,     
  350,19520623,     ,     
  350,19520624,     ,     
  350,19520625,     ,     
  350,19520626,     ,     
  350,19520627,     ,     
  350,19520628,     ,     
  350,19520629,     ,     
  350,19520630,     ,     
  350,19520701,     ,     
  350,19520702,     ,     
  350,19520703,     ,     
  350,19520704,     ,     
  350,19520705,     ,     
  350,19520706,     ,     
  350,19520707,     ,     
  350,19520708,     ,     
  350,19520709,     ,     
  350,19520710,     ,     
  350,19520711,     ,     
  350,19520712,     ,     
  350,19520713,     ,     
  350,19520714,     ,     
  350,19520715,     ,     
  350,19520716,     ,     
  350,19520717,     ,     
  350,19520718,     ,     
  350,19520719,     ,     
  350,19520720,     ,     
  350,19520721,     ,     
  350,19520722,     ,     
  350,19520723,     ,     
  350,19520724,     ,     
  350,19520725,     ,     
  350,19520726,     ,     
  350,19520727,     ,     
  350,19520728,     ,     
  350,19520729,     ,     
  350,19520730,     ,     
  350,19520731,     ,     
  350,19520801,     ,     
  350,19520802,     ,     
  350,19520803,     ,     
  350,19520804,     ,     
  350,19520805,     ,     
  350,19520806,     ,     
  350,19520807,     ,     
  350,19520808,     ,     
  350,19520809,     ,     
  350,19520810,     ,     
  350,19520811,     ,     
  350,19520812,     ,     
  350,19520813,     ,     
  350,19520814,     ,     
  350,19520815,     ,     
  350,19520816,     ,     
  350,19520817,     ,     
  350,19520818,     ,     
  350,19520819,     ,     
  350,19520820,     ,     
  350,19520821,     ,     
  350,19520822,     ,     
  350,19520823,     ,     
  350,19520824,     ,     
  350,19520825,     ,     
  350,19520826,     ,     
  350,19520827,     ,     
  350,19520828,     ,     
  350,19520829,     ,     
  350,19520830,     ,     
  350,19520831,     ,     
  350,19520901,     ,     
  350,19520902,     ,     
  350,19520903,     ,     
  350,19520904,     ,     
  350,19520905,     ,     
  350,19520906,     ,     
  350,19520907,     ,     
  350,19520908,     ,     
  350,19520909,     ,     
  350,19520910,     ,     
  350,19520911,     ,     
  350,19520912,     ,     
  350,19520913,     ,     
  350,19520914,     ,     
  350,19520915,     ,     
  350,19520916,     ,     
  350,19520917,     ,     
  350,19520918,     ,     
  350,19520919,     ,     
  350,19520920,     ,     
  350,19520921,     ,     
  350,19520922,     ,     
  350,19520923,     ,     
  350,19520924,     ,     
  350,19520925,     ,     
  350,19520926,     ,     
  350,19520927,     ,     
  350,19520928,     ,     
  350,19520929,     ,     
  350,19520930,     ,     
  350,19521001,     ,     
  350,19521002,     ,     
  350,19521003,     ,     
  350,19521004,     ,     
  350,19521005,     ,     
  350,19521006,     ,     
  350,19521007,     ,     
  350,19521008,     ,     
  350,19521009,     ,     
  350,19521010,     ,     
  350,19521011,     ,     
  350,19521012,     ,     
  350,19521013,     ,     
  350,19521014,     ,     
  350,19521015,     ,     
  350,19521016,     ,     
  350,19521017,     ,     
  350,19521018,     ,     
  350,19521019,     ,     
  350,19521020,     ,     
  350,19521021,     ,     
  350,19521022,     ,     
  350,19521023,     ,     
  350,19521024,     ,     
  350,19521025,     ,     
  350,19521026,     ,     
  350,19521027,     ,     
  350,19521028,     ,     
  350,19521029,     ,     
  350,19521030,     ,     
  350,19521031,     ,     
  350,19521101,     ,     
  350,19521102,     ,     
  350,19521103,     ,     
  350,19521104,     ,     
  350,19521105,     ,     
  350,19521106,     ,     
  350,19521107,     ,     
  350,19521108,     ,     
  350,19521109,     ,     
  350,19521110,     ,     
  350,19521111,     ,     
  350,19521112,     ,     
  350,19521113,     ,     
  350,19521114,     ,     
  350,19521115,     ,     
  350,19521116,     ,     
  350,19521117,     ,     
  350,19521118,     ,     
  350,19521119,     ,     
  350,19521120,     ,     
  350,19521121,     ,     
  350,19521122,     ,     
  350,19521123,     ,     
  350,19521124,     ,     
  350,19521125,     ,     
  350,19521126,     ,     
  350,19521127,     ,     
  350,19521128,     ,     
  350,19521129,     ,     
  350,19521130,     ,     
  350,19521201,     ,     
  350,19521202,     ,     
  350,19521203,     ,     
  350,19521204,     ,     
  350,19521205,     ,     
  350,19521206,     ,     
  350,19521207,     ,     
  350,19521208,     ,     
  350,19521209,     ,     
  350,19521210,     ,     
  350,19521211,     ,     
  350,19521212,     ,     
  350,19521213,     ,     
  350,19521214,     ,     
  350,19521215,     ,     
  350,19521216,     ,     
  350,19521217,     ,     
  350,19521218,     ,     
  350,19521219,     ,     
  350,19521220,     ,     
  350,19521221,     ,     
  350,19521222,     ,     
  350,19521223,     ,     
  350,19521224,     ,     
  350,19521225,     ,     
  350,19521226,     ,     
  350,19521227,     ,     
  350,19521228,     ,     
  350,19521229,     ,     
  350,19521230,     ,     
  350,19521231,     ,     
  350,19530101,     ,     
  350,19530102,     ,     
  350,19530103,     ,     
  350,19530104,     ,     
  350,19530105,     ,     
  350,19530106,     ,     
  350,19530107,     ,     
  350,19530108,     ,     
  350,19530109,     ,     
  350,19530110,     ,     
  350,19530111,     ,     
  350,19530112,     ,     
  350,19530113,     ,     
  350,19530114,     ,     
  350,19530115,     ,     
  350,19530116,     ,     
  350,19530117,     ,     
  350,19530118,     ,     
  350,19530119,     ,     
  350,19530120,     ,     
  350,19530121,     ,     
  350,19530122,     ,     
  350,19530123,     ,     
  350,19530124,     ,     
  350,19530125,     ,     
  350,19530126,     ,     
