# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 550         De Bilt     
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
  550,19600101,    0,    0
  550,19600102,   25,    0
  550,19600103,    7,    0
  550,19600104,    1,    0
  550,19600105,   14,    0
  550,19600106,   49,    0
  550,19600107,    7,    0
  550,19600108,    3,    0
  550,19600109,    7,    0
  550,19600110,    0,    0
  550,19600111,   16,  997
  550,19600112,    2,  997
  550,19600113,    1,  997
  550,19600114,    9,    2
  550,19600115,   13,    4
  550,19600116,    0,    2
  550,19600117,   12,    2
  550,19600118,    4,    2
  550,19600119,    1,  997
  550,19600120,   32,    0
  550,19600121,   12,    0
  550,19600122,   25,    0
  550,19600123,    0,    0
  550,19600124,   39,    0
  550,19600125,   47,    0
  550,19600126,   96,    0
  550,19600127,    1,    0
  550,19600128,   39,    0
  550,19600129,   11,    0
  550,19600130,  157,    0
  550,19600131,  114,    4
  550,19600201,   25,    2
  550,19600202,    0,  997
  550,19600203,    2,    0
  550,19600204,   10,    0
  550,19600205,  116,    0
  550,19600206,    3,    0
  550,19600207,    0,    0
  550,19600208,    0,    0
  550,19600209,    0,    0
  550,19600210,    0,    0
  550,19600211,   48,    0
  550,19600212,    0,    0
  550,19600213,    0,    0
  550,19600214,    3,  997
  550,19600215,   49,    2
  550,19600216,   14,    2
  550,19600217,   14,    2
  550,19600218,    0,    0
  550,19600219,    0,    0
  550,19600220,    6,    0
  550,19600221,   36,    0
  550,19600222,   10,    0
  550,19600223,   52,    0
  550,19600224,    2,    0
  550,19600225,    0,    0
  550,19600226,   26,    0
  550,19600227,   50,    0
  550,19600228,    1,    0
  550,19600229,    0,  999
  550,19600301,    1,    0
  550,19600302,   50,    0
  550,19600303,   41,    0
  550,19600304,   13,    0
  550,19600305,    0,    0
  550,19600306,    0,    0
  550,19600307,    0,    0
  550,19600308,    0,    0
  550,19600309,    0,    0
  550,19600310,   37,    0
  550,19600311,    7,    0
  550,19600312,    1,    0
  550,19600313,   48,    0
  550,19600314,    0,    0
  550,19600315,   18,    0
  550,19600316,    0,    0
  550,19600317,    0,    0
  550,19600318,    0,    0
  550,19600319,    0,    0
  550,19600320,    0,    0
  550,19600321,    0,    0
  550,19600322,    1,    0
  550,19600323,    1,    0
  550,19600324,    0,    0
  550,19600325,    0,    0
  550,19600326,   19,    0
  550,19600327,   25,    0
  550,19600328,    4,    0
  550,19600329,    0,    0
  550,19600330,    0,    0
  550,19600331,    0,    0
  550,19600401,    0,    0
  550,19600402,    1,    0
  550,19600403,    0,    0
  550,19600404,    3,    0
  550,19600405,    0,    0
  550,19600406,    0,    0
  550,19600407,    0,    0
  550,19600408,  183,    0
