# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 593         Laren       
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
  593,19600101,     ,     
  593,19600102,     ,     
  593,19600103,     ,     
  593,19600104,     ,     
  593,19600105,     ,     
  593,19600106,     ,     
  593,19600107,     ,     
  593,19600108,     ,     
  593,19600109,     ,     
  593,19600110,     ,     
  593,19600111,     ,     
  593,19600112,     ,     
  593,19600113,     ,     
  593,19600114,     ,     
  593,19600115,     ,     
  593,19600116,     ,     
  593,19600117,     ,     
  593,19600118,     ,     
  593,19600119,     ,     
  593,19600120,     ,     
  593,19600121,     ,     
  593,19600122,     ,     
  593,19600123,     ,     
  593,19600124,     ,     
  593,19600125,     ,     
  593,19600126,     ,     
  593,19600127,     ,     
  593,19600128,     ,     
  593,19600129,     ,     
  593,19600130,     ,     
  593,19600131,     ,     
  593,19600201,     ,     
  593,19600202,     ,     
  593,19600203,     ,     
  593,19600204,     ,     
  593,19600205,     ,     
  593,19600206,     ,     
  593,19600207,     ,     
  593,19600208,     ,     
  593,19600209,     ,     
  593,19600210,     ,     
  593,19600211,     ,     
  593,19600212,     ,     
  593,19600213,     ,     
  593,19600214,     ,     
  593,19600215,     ,     
  593,19600216,     ,     
  593,19600217,     ,     
  593,19600218,     ,     
  593,19600219,     ,     
  593,19600220,     ,     
  593,19600221,     ,     
  593,19600222,     ,     
  593,19600223,     ,     
  593,19600224,     ,     
  593,19600225,     ,     
  593,19600226,     ,     
  593,19600227,     ,     
  593,19600228,     ,     
