# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 595         Soest       
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
  595,19960101,    3,    0
  595,19960102,    0,    0
  595,19960103,    0,    0
  595,19960104,    0,    0
  595,19960105,    0,    0
  595,19960106,    0,    0
  595,19960107,   19,    0
  595,19960108,   24,    0
  595,19960109,    0,    0
  595,19960110,   27,    0
  595,19960111,   10,    0
  595,19960112,    0,    0
  595,19960113,    0,    0
  595,19960114,    0,    0
  595,19960115,    0,    0
  595,19960116,    0,    0
  595,19960117,    0,    0
  595,19960118,    0,    0
  595,19960119,    0,    0
  595,19960120,    0,    0
  595,19960121,    0,    0
  595,19960122,    0,    0
  595,19960123,    0,    0
  595,19960124,    0,    0
  595,19960125,    0,    0
  595,19960126,    0,  997
  595,19960127,    4,  997
  595,19960128,    0,    0
  595,19960129,    0,    0
  595,19960130,    0,    0
  595,19960131,    0,    0
  595,19960201,    0,    0
  595,19960202,    0,    0
  595,19960203,    0,    0
  595,19960204,    2,    0
  595,19960205,    5,    2
  595,19960206,    0,    0
  595,19960207,    0,    0
  595,19960208,    0,    0
  595,19960209,    0,    0
  595,19960210,    7,    1
  595,19960211,   40,    0
  595,19960212,   92,    0
  595,19960213,  224,    0
  595,19960214,    3,    0
  595,19960215,    0,    0
  595,19960216,   19,    0
  595,19960217,   11,    0
  595,19960218,  112,    0
  595,19960219,   87,    0
  595,19960220,   12,  999
  595,19960221,    0,  999
  595,19960222,    2,    1
  595,19960223,    0,  997
  595,19960224,    0,    0
  595,19960225,   20,    0
  595,19960226,   62,    0
  595,19960227,    6,    0
  595,19960228,   13,    0
  595,19960229,    0,    0
  595,19960301,    1,    0
  595,19960302,    0,    0
  595,19960303,   20,    1
  595,19960304,    0,    0
  595,19960305,   22,    0
  595,19960306,    9,    0
  595,19960307,    9,    0
  595,19960308,    0,    0
  595,19960309,    0,    0
  595,19960310,    0,    0
  595,19960311,    0,    0
  595,19960312,    0,    0
  595,19960313,    0,    0
  595,19960314,    0,    0
  595,19960315,    0,    0
  595,19960316,    0,    0
  595,19960317,    0,    0
  595,19960318,    0,    0
  595,19960319,    0,    0
  595,19960320,    0,    0
  595,19960321,    0,    0
  595,19960322,   21,    0
  595,19960323,    2,    0
  595,19960324,    2,    0
  595,19960325,    0,    0
  595,19960326,    0,    0
  595,19960327,    0,    0
  595,19960328,    0,    0
  595,19960329,   37,    0
  595,19960330,   55,    0
  595,19960331,   11,    1
  595,19960401,    4,  997
  595,19960402,    0,    0
  595,19960403,    0,  997
  595,19960404,    0,    0
  595,19960405,    0,    0
  595,19960406,    0,    0
  595,19960407,    0,    0
  595,19960408,    0,    0
  595,19960409,    0,    0
  595,19960410,   18,    0
  595,19960411,   52,    0
  595,19960412,   28,    0
  595,19960413,    0,    0
  595,19960414,    0,    0
  595,19960415,    0,    0
  595,19960416,    0,    0
  595,19960417,    0,    0
  595,19960418,    0,    0
  595,19960419,    0,    0
  595,19960420,    0,    0
  595,19960421,    0,    0
  595,19960422,    0,    0
  595,19960423,    0,    0
  595,19960424,    0,    0
  595,19960425,    4,    0
  595,19960426,    0,    0
  595,19960427,    0,    0
  595,19960428,    0,    0
  595,19960429,    0,    0
