# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 596         Eemnes      
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
  596,19961101,  115,    0
  596,19961102,    0,    0
  596,19961103,   50,    0
  596,19961104,   20,    0
  596,19961105,   70,    0
  596,19961106,  100,    0
  596,19961107,   70,    0
  596,19961108,  140,    0
  596,19961109,   10,    0
  596,19961110,   30,    0
  596,19961111,   98,    0
  596,19961112,   72,    0
  596,19961113,   18,    0
  596,19961114,   13,    0
  596,19961115,    1,    0
  596,19961116,    0,    0
  596,19961117,    0,    0
  596,19961118,    1,    0
  596,19961119,   42,    0
  596,19961120,  100,    0
  596,19961121,   42,    0
  596,19961122,   16,    0
  596,19961123,  224,    0
  596,19961124,    3,    0
  596,19961125,   76,    0
  596,19961126,   75,    0
  596,19961127,    1,    0
  596,19961128,    0,    0
  596,19961129,   30,    0
  596,19961130,  112,    0
  596,19961201,  124,    0
  596,19961202,   36,    0
  596,19961203,    2,    0
  596,19961204,   75,    0
  596,19961205,    0,    0
  596,19961206,    0,    0
  596,19961207,    2,    0
  596,19961208,    0,    0
  596,19961209,    0,    0
  596,19961210,    0,    0
  596,19961211,    0,    0
  596,19961212,    1,    0
  596,19961213,    1,    0
  596,19961214,    5,    0
  596,19961215,    2,    0
  596,19961216,    0,    0
  596,19961217,    0,    0
  596,19961218,    0,    0
  596,19961219,  128,    0
  596,19961220,  296,    0
  596,19961221,    0,    0
  596,19961222,    0,    0
  596,19961223,    0,    0
  596,19961224,    0,    0
  596,19961225,    3,  997
  596,19961226,    1,  997
  596,19961227,    0,    0
  596,19961228,    0,    0
  596,19961229,    0,    0
  596,19961230,   10,  997
  596,19961231,    0,    0
  596,19970101,    0,    0
  596,19970102,    0,    0
  596,19970103,    0,    0
  596,19970104,    0,    0
  596,19970105,    0,    0
  596,19970106,    0,    0
  596,19970107,    0,    0
  596,19970108,    0,    0
  596,19970109,    1,  997
  596,19970110,    0,    0
  596,19970111,    1,  997
  596,19970112,    1,    0
  596,19970113,    0,    0
  596,19970114,    0,    0
  596,19970115,    0,    0
  596,19970116,    0,    0
  596,19970117,    0,    0
  596,19970118,    0,    0
  596,19970119,    1,    0
  596,19970120,   38,    0
  596,19970121,    1,    0
  596,19970122,    0,    0
  596,19970123,    2,    0
  596,19970124,   24,    0
  596,19970125,    2,    0
  596,19970126,    1,    0
  596,19970127,    0,    0
  596,19970128,    3,    0
  596,19970129,    1,    0
  596,19970130,    0,    0
  596,19970131,    0,    0
  596,19970201,    1,    0
  596,19970202,    0,    0
  596,19970203,    2,    0
  596,19970204,    0,    0
  596,19970205,  131,    0
  596,19970206,    0,    0
  596,19970207,    0,    0
  596,19970208,   32,    0
  596,19970209,    0,    0
  596,19970210,    0,    0
  596,19970211,   53,    0
  596,19970212,   62,    0
  596,19970213,  216,    0
  596,19970214,   36,    0
  596,19970215,    0,    0
  596,19970216,    0,    0
  596,19970217,    5,    0
  596,19970218,  136,    0
  596,19970219,   13,    0
  596,19970220,   49,    0
  596,19970221,    0,    0
  596,19970222,    5,    0
  596,19970223,    0,    0
  596,19970224,   31,    0
  596,19970225,   69,    0
  596,19970226,   26,    0
