# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# 
# STN,YYYYMMDD,   HH,   DR,   RH
# 
  391,20200401,    1,    0,    0
  391,20200401,    2,    0,    0
  391,20200401,    3,    0,    0
  391,20200401,    4,    0,    0
  391,20200401,    5,    0,    0
  391,20200401,    6,    0,    0
  391,20200401,    7,    0,    0
  391,20200401,    8,    0,    0
  391,20200401,    9,    0,    0
  391,20200401,   10,    0,    0
  391,20200401,   11,    0,    0
  391,20200401,   12,    0,    0
  391,20200401,   13,    0,    0
  391,20200401,   14,    0,    0
  391,20200401,   15,    0,    0
  391,20200401,   16,    0,    0
  391,20200401,   17,    0,    0
  391,20200401,   18,    0,    0
  391,20200401,   19,    0,    0
  391,20200401,   20,    0,    0
  391,20200401,   21,    0,    0
  391,20200401,   22,    0,    0
  391,20200401,   23,    0,    0
  391,20200401,   24,    0,    0
  391,20200402,    1,    0,    0
  391,20200402,    2,    0,    0
  391,20200402,    3,    0,    0
  391,20200402,    4,    0,    0
  391,20200402,    5,    0,    0
  391,20200402,    6,    0,    0
  391,20200402,    7,    0,    0
  391,20200402,    8,    0,    0
  391,20200402,    9,    0,    0
  391,20200402,   10,    0,    0
  391,20200402,   11,    0,    0
  391,20200402,   12,    0,    0
  391,20200402,   13,    0,    0
  391,20200402,   14,    0,    0
  391,20200402,   15,    0,    0
  391,20200402,   16,    0,    0
  391,20200402,   17,    0,    0
  391,20200402,   18,    0,    0
  391,20200402,   19,    0,    0
  391,20200402,   20,    0,    0
  391,20200402,   21,    0,    0
  391,20200402,   22,    0,    0
  391,20200402,   23,    0,    0
  391,20200402,   24,    0,    0
  391,20200403,    1,    0,    0
  391,20200403,    2,    0,    0
  391,20200403,    3,    0,    0
  391,20200403,    4,    0,    0
  391,20200403,    5,    0,    0
  391,20200403,    6,    0,    0
  391,20200403,    7,    0,    0
  391,20200403,    8,    0,    0
  391,20200403,    9,    0,    0
  391,20200403,   10,    0,    0
  391,20200403,   11,    0,    0
  391,20200403,   12,    0,    0
  391,20200403,   13,    0,    0
  391,20200403,   14,    0,    0
  391,20200403,   15,    0,    0
  391,20200403,   16,    0,    0
  391,20200403,   17,    0,    0
  391,20200403,   18,    0,    0
  391,20200403,   19,    0,    0
  391,20200403,   20,    0,    0
  391,20200403,   21,    0,    0
  391,20200403,   22,    0,    0
  391,20200403,   23,    0,    0
  391,20200403,   24,    0,    0
  391,20200404,    1,    0,    0
  391,20200404,    2,    0,    0
  391,20200404,    3,    0,    0
  391,20200404,    4,    0,    0
  391,20200404,    5,    0,    0
  391,20200404,    6,    0,    0
  391,20200404,    7,    0,    0
  391,20200404,    8,    0,    0
  391,20200404,    9,    0,    0
  391,20200404,   10,    0,    0
  391,20200404,   11,    0,    0
  391,20200404,   12,    0,    0
  391,20200404,   13,    0,    0
  391,20200404,   14,    0,    0
  391,20200404,   15,    0,    0
  391,20200404,   16,    0,    0
  391,20200404,   17,    0,    0
  391,20200404,   18,    0,    0
  391,20200404,   19,    0,    0
  391,20200404,   20,    0,    0
  391,20200404,   21,    0,    0
  391,20200404,   22,    0,    0
  391,20200404,   23,    0,    0
  391,20200404,   24,    0,    0
  391,20200405,    1,    0,    0
  391,20200405,    2,    0,    0
  391,20200405,    3,    0,    0
  391,20200405,    4,    0,    0
  391,20200405,    5,    0,    0
  391,20200405,    6,    0,    0
  391,20200405,    7,    0,    0
  391,20200405,    8,    0,    0
  391,20200405,    9,    0,    0
  391,20200405,   10,    0,    0
  391,20200405,   11,    0,    0
  391,20200405,   12,    0,    0
  391,20200405,   13,    0,    0
  391,20200405,   14,    0,    0
  391,20200405,   15,    0,    0
  391,20200405,   16,    0,    0
  391,20200405,   17,    0,    0
  391,20200405,   18,    0,    0
