x, y
1990.01188, 0.66003
1990.01482, 0.85102
1990.03466, 0.9108
1990.07252, 0.85251
1990.11165, 0.85081
1990.12941, 1.01851
1990.15882, 1.11813
1990.18778, 1.30006
1990.21971, 1.53997
1990.33705, 1.2456
1990.46963, 0.91839
1990.59462, 0.72044
1990.77043, 0.50001
1990.90572, 0.66371
1990.94401, 1.04305
1991.00149, 1.10094
1991.02609, 1.17928
1991.07893, 1.47358
1991.17551, 1.27219
1991.2968, 1.00193
1991.43727, 0.75281
1991.5169, 0.6576
1991.55382, 0.96177
1991.65866, 0.75968
1991.77343, 0.59951
1991.89727, 0.47855
1991.91631, 0.82244
1991.9405, 0.95948
1991.99415, 0.85926
1992.01903, 1.10188
1992.07102, 1.07347
1992.07102, 1.21276
1992.14119, 1.1311
1992.17108, 1.15703
1992.23554, 1.03914
1992.25424, 1.28152
1992.31005, 1.30883
1992.35887, 1.20925
1992.49286, 1.04667
1992.58385, 0.8829
1992.7024, 0.70663
1992.74304, 0.9778
1992.79637, 0.89453
1992.8571, 0.88175
1992.88674, 1.05742
1992.91427, 1.10231
1992.94127, 1.31606
1993.00434, 1.64379
1993.04065, 1.60035
1993.06979, 1.53324
1993.08131, 1.70844
1993.13682, 1.82931
1993.17147, 1.67525
1993.19987, 1.67924
1993.26914, 1.46228
1993.37832, 1.17016
1993.47151, 0.95582
1993.60684, 0.73732
1993.63972, 0.95998
1993.66408, 1.00952
1993.75734, 0.88842
1993.76823, 1.14394
1993.79832, 1.38987
1993.83098, 1.45171
1993.84419, 1.54003
1993.91775, 1.39465
1993.93434, 1.54805
1993.97976, 1.41966
1994.00063, 1.6205
1994.02177, 1.87649
1994.04243, 2.13526
1994.07221, 2.23436
1994.11443, 2.28369
1994.12097, 2.36213
1994.16858, 2.25011
1994.20666, 2.06613
1994.23858, 2.04704
1994.27922, 2.2147
1994.32807, 2.48323
1994.41832, 1.99405
1994.48536, 1.76536
1994.59392, 1.48835
1994.67445, 1.23525
1994.73883, 1.06641
1994.76421, 1.20942
1994.76705, 1.37496
1994.86141, 1.23157
1994.88615, 1.47099
1994.90727, 1.37517
1994.92981, 1.5159
1994.9924, 1.43568
