x, y
1990.00937, 0.48398
1990.05512, 0.46328
1990.1081, 0.50306
1990.17247, 0.32319
1990.21412, 0.66407
1990.24491, 1.01558
1990.29229, 0.86974
1990.32995, 1.44363
1990.38162, 0.66846
1990.41431, 1.03919
1990.46515, 1.23181
1990.49723, 0.86159
1990.53774, 0.86579
1990.58503, 0.91263
1990.63509, 0.83474
1990.67923, 0.60843
1990.71507, 0.5094
1990.76305, 0.73039
1990.80544, 1.01283
1990.84114, 0.54755
1990.87841, 0.35626
1990.91395, 0.66226
1990.93429, 0.69624
1990.96385, 0.52575
1991.00544, 0.57323
1991.04826, 0.5104
1991.08183, 0.71284
1991.12341, 0.85229
1991.17434, 0.85568
1991.20978, 0.68979
1991.2502, 1.01112
1991.2928, 0.8414
1991.35692, 0.85307
1991.43225, 0.87988
1991.46994, 0.48412
1991.49388, 0.86885
1991.52221, 0.86709
1991.55424, 0.83868
1991.58513, 0.38743
1991.62758, 0.65702
1991.66187, 0.71502
1991.70203, 0.70796
1991.7524, 0.7399
1991.80211, 0.67737
1991.83748, 0.71819
1991.87583, 0.46984
1991.90895, 0.68557
1991.9657, 0.67833
1991.99883, 0.60912
1992.03117, 0.48081
1992.0647, 0.48411
1992.08175, 0.68835
1992.10877, 0.71431
1992.1177, 0.8272
1992.18866, 0.83641
1992.18733, 0.68007
1992.22863, 0.65234
1992.24352, 0.98413
1992.26908, 1.01272
1992.29034, 0.85596
1992.33941, 0.86373
1992.37571, 0.98594
1992.49889, 1.01513
1992.53572, 1.53728
1992.56389, 1.0102
1992.75981, 1.02271
1992.80168, 1.52398
1992.83281, 0.80839
1992.88565, 0.66304
1992.90608, 0.85535
1992.96734, 0.84431
1992.99384, 1.00061
1993.11767, 0.99304
1993.11591, 1.16759
1993.15397, 1.18423
1993.17602, 1.01195
1993.25594, 1.03131
1993.29112, 1.35883
1993.32151, 1.47211
1993.37043, 1.55843
1993.41452, 1.45326
1993.47391, 1.37986
1993.53448, 1.02796
1993.57807, 0.71747
1993.60542, 0.73595
1993.62049, 1.37292
1993.66157, 0.8884
1993.72467, 0.83773
1993.7411, 0.57457
1993.77906, 0.57457
1993.78469, 1.04151
1993.85585, 1.04521
1993.87658, 3.02281
1993.91938, 0.04388
1993.94124, 0.67458
1993.97793, 0.70231
1994.01492, 1.03114
1994.02776, 3.10913
1994.05162, 3.13748
1994.07869, 4.45787
1994.11902, 2.96231
1994.17031, 2.46062
1994.20831, 2.49781
1994.26044, 2.44815
1994.30394, 1.23728
1994.31947, 3.09211
1994.37952, 2.20245
1994.39844, 1.75362
1994.44842, 3.52702
1994.50816, 2.15175
1994.53643, 1.51855
1994.62385, 1.52981
1994.66503, 1.4149
1994.70276, 0.5603
1994.73076, 0.57781
1994.73773, 0.77178
1994.77685, 0.80022
1994.78913, 1.43715
1994.83852, 0.63591
1994.88638, 0.3902
1994.90988, 1.07253
1994.93455, 1.11109
1994.94972, 1.36292
1994.98499, 1.36391
