Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B26H0178,001,26HP0058,178820,475860,2383,,2447,1583,1383,1975/09/18,1998/02/01
B26H0178,001,26HP0058,178820,475860,2383,,2446,1583,1383,1998/02/01,2013/06/10

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B26H0178,001,1975/09/29 00:00:00,120,
B26H0178,001,1975/10/28 00:00:00,148,
B26H0178,001,1976/07/14 00:00:00,173,
B26H0178,001,1976/07/28 00:00:00,176,
B26H0178,001,1976/08/13 00:00:00,182,
B26H0178,001,1976/08/27 00:00:00,187,
B26H0178,001,1976/09/14 00:00:00,188,
B26H0178,001,1976/09/28 00:00:00,192,
B26H0178,001,1976/10/14 00:00:00,193,
B26H0178,001,1976/10/28 00:00:00,195,
B26H0178,001,1976/11/15 00:00:00,198,
B26H0178,001,1976/11/29 00:00:00,198,
B26H0178,001,1976/12/14 00:00:00,182,
B26H0178,001,1976/12/28 00:00:00,184,
B26H0178,001,1977/01/14 00:00:00,180,
B26H0178,001,1977/01/28 00:00:00,173,
B26H0178,001,1977/02/14 00:00:00,164,
B26H0178,001,1977/02/28 00:00:00,155,
B26H0178,001,1977/03/14 00:00:00,154,
B26H0178,001,1977/03/28 00:00:00,156,
B26H0178,001,1977/04/14 00:00:00,148,
B26H0178,001,1977/07/14 00:00:00,177,
B26H0178,001,1977/07/28 00:00:00,180,
B26H0178,001,1977/08/15 00:00:00,191,
B26H0178,001,1977/08/29 00:00:00,171,
B26H0178,001,1977/09/14 00:00:00,187,
B26H0178,001,1977/09/28 00:00:00,191,
B26H0178,001,1977/10/14 00:00:00,193,
B26H0178,001,1977/10/28 00:00:00,197,
B26H0178,001,1977/11/14 00:00:00,186,
B26H0178,001,1977/11/28 00:00:00,146,
B26H0178,001,1978/01/12 00:00:00,138,
B26H0178,001,1978/01/27 00:00:00,130,
B26H0178,001,1978/02/14 00:00:00,137,
B26H0178,001,1978/02/28 00:00:00,140,
B26H0178,001,1978/03/14 00:00:00,139,
B26H0178,001,1978/03/28 00:00:00,118,
B26H0178,001,1978/04/14 00:00:00,142,
B26H0178,001,1978/05/02 00:00:00,137,
B26H0178,001,1978/05/16 00:00:00,143,
B26H0178,001,1978/05/29 00:00:00,151,
B26H0178,001,1978/06/14 00:00:00,161,
B26H0178,001,1978/06/28 00:00:00,163,
B26H0178,001,1978/07/14 00:00:00,159,
B26H0178,001,1978/07/28 00:00:00,171,
B26H0178,001,1978/08/15 00:00:00,175,
B26H0178,001,1978/08/28 00:00:00,182,
B26H0178,001,1978/09/14 00:00:00,191,
B26H0178,001,1978/09/28 00:00:00,184,
B26H0178,001,1978/10/13 00:00:00,173,
B26H0178,001,1978/10/27 00:00:00,182,
B26H0178,001,1978/11/14 00:00:00,184,
B26H0178,001,1978/11/28 00:00:00,184,
B26H0178,001,1978/12/14 00:00:00,188,
B26H0178,001,1978/12/28 00:00:00,161,
B26H0178,001,1979/01/15 00:00:00,148,
B26H0178,001,1979/01/29 00:00:00,152,
B26H0178,001,1979/02/15 00:00:00,140,
B26H0178,001,1979/02/28 00:00:00,127,
B26H0178,001,1979/03/14 00:00:00,110,
B26H0178,001,1979/03/28 00:00:00,102,
B26H0178,001,1979/04/12 00:00:00,111,
B26H0178,001,1979/04/27 00:00:00,99,
B26H0178,001,1979/05/14 00:00:00,97,
B26H0178,001,1979/05/28 00:00:00,105,
B26H0178,001,1979/06/14 00:00:00,72,
B26H0178,001,1979/06/28 00:00:00,92,
B26H0178,001,1979/07/13 00:00:00,110,
B26H0178,001,1979/07/27 00:00:00,111,
B26H0178,001,1979/08/14 00:00:00,115,
B26H0178,001,1979/08/28 00:00:00,126,
B26H0178,001,1979/09/14 00:00:00,136,
B26H0178,001,1979/09/28 00:00:00,141,
B26H0178,001,1979/10/15 00:00:00,132,
B26H0178,001,1979/10/29 00:00:00,147,
B26H0178,001,1979/11/14 00:00:00,117,
B26H0178,001,1979/11/28 00:00:00,130,
B26H0178,001,1979/12/14 00:00:00,108,
B26H0178,001,1979/12/27 00:00:00,103,
B26H0178,001,1980/01/14 00:00:00,95,
B26H0178,001,1980/01/28 00:00:00,97,
B26H0178,001,1980/02/14 00:00:00,77,
B26H0178,001,1980/02/28 00:00:00,108,
B26H0178,001,1980/03/14 00:00:00,63,
B26H0178,001,1980/03/28 00:00:00,85,
B26H0178,001,1980/04/14 00:00:00,84,
B26H0178,001,1980/04/28 00:00:00,92,
B26H0178,001,1980/05/14 00:00:00,107,
B26H0178,001,1980/05/28 00:00:00,129,
B26H0178,001,1980/06/13 00:00:00,126,
B26H0178,001,1980/06/27 00:00:00,125,
B26H0178,001,1980/07/14 00:00:00,88,
B26H0178,001,1980/07/28 00:00:00,95,
B26H0178,001,1980/08/14 00:00:00,101,
B26H0178,001,1980/08/28 00:00:00,136,
B26H0178,001,1980/09/15 00:00:00,109,
B26H0178,001,1980/09/29 00:00:00,94,
B26H0178,001,1980/10/14 00:00:00,117,
B26H0178,001,1980/10/28 00:00:00,118,
B26H0178,001,1980/11/14 00:00:00,122,
B26H0178,001,1980/11/28 00:00:00,102,
B26H0178,001,1980/12/15 00:00:00,99,
B26H0178,001,1980/12/29 00:00:00,88,
B26H0178,001,1981/01/14 00:00:00,86,
B26H0178,001,1981/01/28 00:00:00,74,
B26H0178,001,1981/02/13 00:00:00,66,
B26H0178,001,1981/02/27 00:00:00,80,
B26H0178,001,1981/03/13 00:00:00,33,
B26H0178,001,1981/03/27 00:00:00,44,
B26H0178,001,1981/04/14 00:00:00,65,
B26H0178,001,1981/04/28 00:00:00,69,
B26H0178,001,1981/05/14 00:00:00,73,
B26H0178,001,1981/05/27 00:00:00,72,
B26H0178,001,1981/06/15 00:00:00,85,
B26H0178,001,1981/06/29 00:00:00,47,
B26H0178,001,1981/07/14 00:00:00,84,
B26H0178,001,1981/07/28 00:00:00,88,
B26H0178,001,1981/08/13 00:00:00,86,
B26H0178,001,1981/08/28 00:00:00,99,
B26H0178,001,1981/09/14 00:00:00,98,
B26H0178,001,1981/09/28 00:00:00,112,
B26H0178,001,1981/10/14 00:00:00,89,
B26H0178,001,1981/10/28 00:00:00,88,
B26H0178,001,1981/11/13 00:00:00,78,
B26H0178,001,1981/11/27 00:00:00,98,
B26H0178,001,1981/12/28 00:00:00,74,
B26H0178,001,1982/01/14 00:00:00,70,
B26H0178,001,1982/01/28 00:00:00,61,
B26H0178,001,1982/02/15 00:00:00,67,
B26H0178,001,1982/03/01 00:00:00,76,
B26H0178,001,1982/03/15 00:00:00,64,
B26H0178,001,1982/03/29 00:00:00,67,
B26H0178,001,1982/04/14 00:00:00,76,
B26H0178,001,1982/04/28 00:00:00,85,
B26H0178,001,1982/05/14 00:00:00,88,
