Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-12-2017,,,,,,,,
Gegevens beschikbaar:,14-07-1976,tot:,03-05-2017,,,,,,,,
Datum: ,18-12-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B26H0181,001,26HP0181,177580,475470,2552,03-04-1974,03-04-1974,03-05-2017,2616,64,1502,1402


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B26H0181,001,14-07-1976,428,364,2188,,,,,,
B26H0181,001,28-07-1976,432,368,2184,,,,,,
B26H0181,001,13-08-1976,438,374,2178,,,,,,
B26H0181,001,27-08-1976,444,380,2172,,,,,,
B26H0181,001,14-09-1976,450,386,2166,,,,,,
B26H0181,001,28-09-1976,456,392,2160,,,,,,
B26H0181,001,14-10-1976,460,396,2156,,,,,,
B26H0181,001,28-10-1976,464,400,2152,,,,,,
B26H0181,001,15-11-1976,470,406,2146,,,,,,
B26H0181,001,29-11-1976,474,410,2142,,,,,,
B26H0181,001,14-12-1976,478,414,2138,,,,,,
B26H0181,001,28-12-1976,482,418,2134,,,,,,
B26H0181,001,14-01-1977,485,421,2131,,,,,,
B26H0181,001,28-01-1977,482,418,2134,,,,,,
B26H0181,001,14-02-1977,471,407,2145,,,,,,
B26H0181,001,28-02-1977,465,401,2151,,,,,,
B26H0181,001,14-03-1977,455,391,2161,,,,,,
B26H0181,001,28-03-1977,452,388,2164,,,,,,
B26H0181,001,14-04-1977,451,387,2165,,,,,,
B26H0181,001,14-07-1977,457,393,2159,,,,,,
B26H0181,001,28-07-1977,461,397,2155,,,,,,
B26H0181,001,15-08-1977,466,402,2150,,,,,,
B26H0181,001,29-08-1977,470,406,2146,,,,,,
B26H0181,001,14-09-1977,474,410,2142,,,,,,
B26H0181,001,28-09-1977,476,412,2140,,,,,,
B26H0181,001,14-10-1977,482,418,2134,,,,,,
B26H0181,001,28-10-1977,485,421,2131,,,,,,
B26H0181,001,14-11-1977,488,424,2128,,,,,,
B26H0181,001,28-11-1977,489,425,2127,,,,,,
B26H0181,001,12-01-1978,453,389,2163,,,,,,
B26H0181,001,27-01-1978,444,380,2172,,,,,,
B26H0181,001,14-02-1978,438,374,2178,,,,,,
B26H0181,001,28-02-1978,434,370,2182,,,,,,
B26H0181,001,14-03-1978,435,371,2181,,,,,,
B26H0181,001,28-03-1978,431,367,2185,,,,,,
B26H0181,001,14-04-1978,420,356,2196,,,,,,
B26H0181,001,02-05-1978,419,355,2197,,,,,,
B26H0181,001,16-05-1978,424,360,2192,,,,,,
B26H0181,001,29-05-1978,430,366,2186,,,,,,
B26H0181,001,14-06-1978,435,371,2181,,,,,,
B26H0181,001,28-06-1978,440,376,2176,,,,,,
B26H0181,001,14-07-1978,445,381,2171,,,,,,
B26H0181,001,28-07-1978,445,381,2171,,,,,,
B26H0181,001,15-08-1978,453,389,2163,,,,,,
B26H0181,001,28-08-1978,457,393,2159,,,,,,
B26H0181,001,14-09-1978,463,399,2153,,,,,,
B26H0181,001,28-09-1978,468,404,2148,,,,,,
B26H0181,001,13-10-1978,470,406,2146,,,,,,
B26H0181,001,27-10-1978,472,408,2144,,,,,,
B26H0181,001,14-11-1978,474,410,2142,,,,,,
B26H0181,001,28-11-1978,476,412,2140,,,,,,
B26H0181,001,14-12-1978,477,413,2139,,,,,,
B26H0181,001,28-12-1978,474,410,2142,,,,,,
B26H0181,001,15-01-1979,458,394,2158,,,,,,
B26H0181,001,29-01-1979,454,390,2162,,,,,,
B26H0181,001,28-02-1979,442,378,2174,,,,,,
B26H0181,001,14-03-1979,428,364,2188,,,,,,
B26H0181,001,28-03-1979,414,350,2202,,,,,,
B26H0181,001,12-04-1979,405,341,2211,,,,,,
B26H0181,001,27-04-1979,401,337,2215,,,,,,
B26H0181,001,14-05-1979,383,319,2233,,,,,,
B26H0181,001,28-05-1979,384,320,2232,,,,,,
B26H0181,001,14-06-1979,363,299,2253,,,,,,
B26H0181,001,28-06-1979,355,291,2261,,,,,,
B26H0181,001,13-07-1979,362,298,2254,,,,,,
B26H0181,001,27-07-1979,368,304,2248,,,,,,
B26H0181,001,14-08-1979,385,321,2231,,,,,,
B26H0181,001,28-08-1979,382,318,2234,,,,,,
B26H0181,001,14-09-1979,388,324,2228,,,,,,
B26H0181,001,28-09-1979,396,332,2220,,,,,,
B26H0181,001,15-10-1979,407,343,2209,,,,,,
B26H0181,001,29-10-1979,409,345,2207,,,,,,
B26H0181,001,14-11-1979,410,346,2206,,,,,,
B26H0181,001,28-11-1979,414,350,2202,,,,,,
B26H0181,001,14-12-1979,413,349,2203,,,,,,
B26H0181,001,27-12-1979,391,327,2225,,,,,,
B26H0181,001,14-01-1980,365,301,2251,,,,,,
B26H0181,001,28-01-1980,368,304,2248,,,,,,
B26H0181,001,14-02-1980,346,282,2270,,,,,,
B26H0181,001,28-02-1980,345,281,2271,,,,,,
B26H0181,001,14-03-1980,352,288,2264,,,,,,
B26H0181,001,28-03-1980,343,279,2273,,,,,,
B26H0181,001,14-04-1980,341,277,2275,,,,,,
B26H0181,001,28-04-1980,359,295,2257,,,,,,
B26H0181,001,14-05-1980,357,293,2259,,,,,,
B26H0181,001,28-05-1980,360,296,2256,,,,,,
B26H0181,001,13-06-1980,373,309,2243,,,,,,
B26H0181,001,27-06-1980,373,309,2243,,,,,,
B26H0181,001,14-07-1980,378,314,2238,,,,,,
B26H0181,001,28-07-1980,356,292,2260,,,,,,
B26H0181,001,14-08-1980,350,286,2266,,,,,,
B26H0181,001,28-08-1980,357,293,2259,,,,,,
B26H0181,001,15-09-1980,362,298,2254,,,,,,
B26H0181,001,29-09-1980,369,305,2247,,,,,,
B26H0181,001,14-10-1980,374,310,2242,,,,,,
B26H0181,001,28-10-1980,379,315,2237,,,,,,
B26H0181,001,14-11-1980,386,322,2230,,,,,,
B26H0181,001,28-11-1980,368,304,2248,,,,,,
B26H0181,001,15-12-1980,361,297,2255,,,,,,
B26H0181,001,29-12-1980,354,290,2262,,,,,,
B26H0181,001,14-01-1981,335,271,2281,,,,,,
B26H0181,001,28-01-1981,313,249,2303,,,,,,
B26H0181,001,13-02-1981,308,244,2308,,,,,,
B26H0181,001,27-02-1981,312,248,2304,,,,,,
B26H0181,001,13-03-1981,283,219,2333,,,,,,
B26H0181,001,27-03-1981,266,202,2350,,,,,,
B26H0181,001,14-04-1981,277,213,2339,,,,,,
B26H0181,001,28-04-1981,290,226,2326,,,,,,
B26H0181,001,14-05-1981,295,231,2321,,,,,,
B26H0181,001,27-05-1981,300,236,2316,,,,,,
B26H0181,001,15-06-1981,305,241,2311,,,,,,
B26H0181,001,29-06-1981,309,245,2307,,,,,,
B26H0181,001,14-07-1981,308,244,2308,,,,,,
B26H0181,001,28-07-1981,314,250,2302,,,,,,
B26H0181,001,13-08-1981,321,257,2295,,,,,,
B26H0181,001,28-08-1981,340,276,2276,,,,,,
B26H0181,001,14-09-1981,341,277,2275,,,,,,
B26H0181,001,28-09-1981,348,284,2268,,,,,,
B26H0181,001,14-10-1981,351,287,2265,,,,,,
B26H0181,001,28-10-1981,338,274,2278,,,,,,
B26H0181,001,13-11-1981,337,273,2279,,,,,,
B26H0181,001,27-11-1981,330,266,2286,,,,,,
B26H0181,001,28-12-1981,308,244,2308,,,,,,
B26H0181,001,14-01-1982,295,231,2321,,,,,,
B26H0181,001,28-01-1982,306,242,2310,,,,,,
B26H0181,001,15-02-1982,303,239,2313,,,,,,
B26H0181,001,01-03-1982,310,246,2306,,,,,,
B26H0181,001,15-03-1982,299,235,2317,,,,,,
B26H0181,001,29-03-1982,301,237,2315,,,,,,
B26H0181,001,14-04-1982,306,242,2310,,,,,,
B26H0181,001,28-04-1982,314,250,2302,,,,,,
B26H0181,001,14-05-1982,318,254,2298,,,,,,
B26H0181,001,28-05-1982,325,261,2291,,,,,,
B26H0181,001,14-06-1982,332,268,2284,,,,,,
B26H0181,001,28-06-1982,337,273,2279,,,,,,
B26H0181,001,14-07-1982,332,268,2284,,,,,,
B26H0181,001,28-07-1982,341,277,2275,,,,,,
B26H0181,001,16-08-1982,353,289,2263,,,,,,
B26H0181,001,27-08-1982,359,295,2257,,,,,,
B26H0181,001,14-09-1982,369,305,2247,,,,,,
B26H0181,001,28-09-1982,374,310,2242,,,,,,
B26H0181,001,14-10-1982,380,316,2236,,,,,,
B26H0181,001,28-10-1982,388,324,2228,,,,,,
B26H0181,001,15-11-1982,393,329,2223,,,,,,
B26H0181,001,29-11-1982,394,330,2222,,,,,,
B26H0181,001,14-12-1982,393,329,2223,,,,,,
B26H0181,001,28-12-1982,377,313,2239,,,,,,
B26H0181,001,14-01-1983,366,302,2250,,,,,,
B26H0181,001,28-01-1983,361,297,2255,,,,,,
B26H0181,001,14-02-1983,357,293,2259,,,,,,
B26H0181,001,28-02-1983,344,280,2272,,,,,,
B26H0181,001,14-03-1983,348,284,2268,,,,,,
B26H0181,001,28-03-1983,349,285,2267,,,,,,
B26H0181,001,14-04-1983,331,267,2285,,,,,,
B26H0181,001,28-04-1983,321,257,2295,,,,,,
B26H0181,001,16-05-1983,310,246,2306,,,,,,
B26H0181,001,27-05-1983,301,237,2315,,,,,,
B26H0181,001,14-06-1983,294,230,2322,,,,,,
B26H0181,001,28-06-1983,304,240,2312,,,,,,
B26H0181,001,14-07-1983,323,259,2293,,,,,,
B26H0181,001,28-07-1983,326,262,2290,,,,,,
B26H0181,001,15-08-1983,338,274,2278,,,,,,
B26H0181,001,29-08-1983,345,281,2271,,,,,,
B26H0181,001,14-09-1983,352,288,2264,,,,,,
B26H0181,001,28-09-1983,355,291,2261,,,,,,
B26H0181,001,13-10-1983,360,296,2256,,,,,,
B26H0181,001,28-10-1983,365,301,2251,,,,,,
B26H0181,001,14-11-1983,371,307,2245,,,,,,
B26H0181,001,28-11-1983,383,319,2233,,,,,,
B26H0181,001,13-12-1983,354,290,2262,,,,,,
B26H0181,001,28-12-1983,346,282,2270,,,,,,
B26H0181,001,13-01-1984,319,255,2297,,,,,,
B26H0181,001,27-01-1984,298,234,2318,,,,,,
B26H0181,001,14-02-1984,258,194,2358,,,,,,
B26H0181,001,28-02-1984,272,208,2344,,,,,,
B26H0181,001,14-03-1984,277,213,2339,,,,,,
B26H0181,001,28-03-1984,295,231,2321,,,,,,
B26H0181,001,13-04-1984,282,218,2334,,,,,,
B26H0181,001,27-04-1984,285,221,2331,,,,,,
B26H0181,001,14-05-1984,294,230,2322,,,,,,
B26H0181,001,28-05-1984,293,229,2323,,,,,,
B26H0181,001,14-06-1984,292,228,2324,,,,,,
B26H0181,001,28-06-1984,302,238,2314,,,,,,
B26H0181,001,13-07-1984,303,239,2313,,,,,,
B26H0181,001,27-07-1984,302,238,2314,,,,,,
B26H0181,001,14-08-1984,328,264,2288,,,,,,
B26H0181,001,28-08-1984,326,262,2290,,,,,,
B26H0181,001,14-09-1984,332,268,2284,,,,,,
B26H0181,001,28-09-1984,342,278,2274,,,,,,
B26H0181,001,15-10-1984,330,266,2286,,,,,,
B26H0181,001,29-10-1984,312,248,2304,,,,,,
B26H0181,001,14-11-1984,316,252,2300,,,,,,
B26H0181,001,28-11-1984,308,244,2308,,,,,,
B26H0181,001,14-12-1984,310,246,2306,,,,,,
B26H0181,001,28-12-1984,311,247,2305,,,,,,
B26H0181,001,14-01-1985,312,248,2304,,,,,,
B26H0181,001,28-01-1985,307,243,2309,,,,,,
B26H0181,001,14-02-1985,308,244,2308,,,,,,
B26H0181,001,28-02-1985,319,255,2297,,,,,,
B26H0181,001,14-03-1985,322,258,2294,,,,,,
B26H0181,001,28-03-1985,325,261,2291,,,,,,
B26H0181,001,15-04-1985,310,246,2306,,,,,,
B26H0181,001,29-04-1985,303,239,2313,,,,,,
B26H0181,001,13-05-1985,307,243,2309,,,,,,
B26H0181,001,28-05-1985,310,246,2306,,,,,,
B26H0181,001,14-06-1985,320,256,2296,,,,,,
B26H0181,001,28-06-1985,320,256,2296,,,,,,
B26H0181,001,12-07-1985,307,243,2309,,,,,,
B26H0181,001,29-07-1985,315,251,2301,,,,,,
B26H0181,001,14-08-1985,321,257,2295,,,,,,
B26H0181,001,28-08-1985,324,260,2292,,,,,,
B26H0181,001,13-09-1985,329,265,2287,,,,,,
B26H0181,001,27-09-1985,335,271,2281,,,,,,
