Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B26H0181,002,26HP0181,177580,475470,2552,,2620,1002,902,1974/04/03,1992/10/14
B26H0181,002,26HP0181,177580,475470,2552,,2612,1002,902,1992/10/14,1998/02/01
B26H0181,002,26HP0181,177580,475470,2552,,2613,1002,902,1998/02/01,2012/10/31

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B26H0181,002,1976/07/14 00:00:00,381,
B26H0181,002,1976/07/28 00:00:00,387,
B26H0181,002,1976/08/13 00:00:00,390,
B26H0181,002,1976/08/27 00:00:00,398,
B26H0181,002,1976/09/14 00:00:00,403,
B26H0181,002,1976/09/28 00:00:00,407,
B26H0181,002,1976/10/14 00:00:00,413,
B26H0181,002,1976/10/28 00:00:00,415,
B26H0181,002,1976/11/15 00:00:00,424,
B26H0181,002,1976/11/29 00:00:00,428,
B26H0181,002,1976/12/14 00:00:00,430,
B26H0181,002,1976/12/28 00:00:00,434,
B26H0181,002,1977/01/14 00:00:00,436,
B26H0181,002,1977/01/28 00:00:00,432,
B26H0181,002,1977/02/14 00:00:00,426,
B26H0181,002,1977/02/28 00:00:00,421,
B26H0181,002,1977/03/14 00:00:00,415,
B26H0181,002,1977/03/28 00:00:00,412,
B26H0181,002,1977/04/14 00:00:00,407,
B26H0181,002,1977/07/14 00:00:00,412,
B26H0181,002,1977/07/28 00:00:00,415,
B26H0181,002,1977/08/15 00:00:00,420,
B26H0181,002,1977/08/29 00:00:00,422,
B26H0181,002,1977/09/14 00:00:00,428,
B26H0181,002,1977/09/28 00:00:00,430,
B26H0181,002,1977/10/14 00:00:00,435,
B26H0181,002,1977/10/28 00:00:00,440,
B26H0181,002,1977/11/14 00:00:00,442,
B26H0181,002,1977/11/28 00:00:00,436,
B26H0181,002,1978/01/12 00:00:00,410,
B26H0181,002,1978/01/27 00:00:00,402,
B26H0181,002,1978/02/14 00:00:00,394,
B26H0181,002,1978/02/28 00:00:00,392,
B26H0181,002,1978/03/14 00:00:00,391,
B26H0181,002,1978/03/28 00:00:00,389,
B26H0181,002,1978/04/14 00:00:00,379,
B26H0181,002,1978/05/02 00:00:00,377,
B26H0181,002,1978/05/16 00:00:00,381,
B26H0181,002,1978/05/29 00:00:00,385,
B26H0181,002,1978/06/14 00:00:00,389,
B26H0181,002,1978/06/28 00:00:00,396,
B26H0181,002,1978/07/14 00:00:00,398,
B26H0181,002,1978/07/28 00:00:00,401,
B26H0181,002,1978/08/15 00:00:00,407,
B26H0181,002,1978/08/28 00:00:00,413,
B26H0181,002,1978/09/14 00:00:00,420,
B26H0181,002,1978/09/28 00:00:00,422,
