Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B26H0182,002,26HP0182,178030,475480,2662,,2706,862,762,1974/04/16,2012/10/31

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B26H0182,002,1976/07/14 00:00:00,438,
B26H0182,002,1976/07/28 00:00:00,453,
B26H0182,002,1976/08/13 00:00:00,449,
B26H0182,002,1976/08/27 00:00:00,454,
B26H0182,002,1976/09/14 00:00:00,461,
B26H0182,002,1976/09/28 00:00:00,466,
B26H0182,002,1976/10/14 00:00:00,470,
B26H0182,002,1976/10/28 00:00:00,476,
B26H0182,002,1976/11/15 00:00:00,482,
B26H0182,002,1976/11/29 00:00:00,487,
B26H0182,002,1976/12/14 00:00:00,490,
B26H0182,002,1976/12/28 00:00:00,494,
B26H0182,002,1977/01/14 00:00:00,496,
B26H0182,002,1977/01/28 00:00:00,493,
B26H0182,002,1977/02/14 00:00:00,483,
B26H0182,002,1977/02/28 00:00:00,475,
B26H0182,002,1977/03/14 00:00:00,465,
B26H0182,002,1977/03/28 00:00:00,457,
B26H0182,002,1977/04/14 00:00:00,454,
B26H0182,002,1977/07/14 00:00:00,457,
B26H0182,002,1977/07/28 00:00:00,461,
B26H0182,002,1977/08/15 00:00:00,468,
B26H0182,002,1977/08/29 00:00:00,474,
B26H0182,002,1977/09/14 00:00:00,479,
B26H0182,002,1977/09/28 00:00:00,482,
B26H0182,002,1977/10/14 00:00:00,486,
B26H0182,002,1977/10/28 00:00:00,491,
B26H0182,002,1977/11/14 00:00:00,496,
B26H0182,002,1977/11/28 00:00:00,489,
B26H0182,002,1978/01/12 00:00:00,455,
B26H0182,002,1978/01/27 00:00:00,449,
B26H0182,002,1978/02/14 00:00:00,438,
B26H0182,002,1978/02/28 00:00:00,433,
B26H0182,002,1978/03/14 00:00:00,432,
B26H0182,002,1978/03/28 00:00:00,432,
B26H0182,002,1978/04/14 00:00:00,422,
B26H0182,002,1978/05/02 00:00:00,419,
B26H0182,002,1978/05/16 00:00:00,424,
B26H0182,002,1978/05/29 00:00:00,429,
B26H0182,002,1978/06/14 00:00:00,435,
B26H0182,002,1978/06/28 00:00:00,441,
B26H0182,002,1978/07/14 00:00:00,447,
B26H0182,002,1978/07/28 00:00:00,452,
B26H0182,002,1978/08/15 00:00:00,457,
B26H0182,002,1978/08/28 00:00:00,463,
B26H0182,002,1978/09/14 00:00:00,471,
B26H0182,002,1978/09/28 00:00:00,476,
B26H0182,002,1978/10/13 00:00:00,477,
B26H0182,002,1978/10/27 00:00:00,483,
B26H0182,002,1978/11/14 00:00:00,489,
B26H0182,002,1978/11/28 00:00:00,488,
B26H0182,002,1978/12/14 00:00:00,492,
B26H0182,002,1978/12/28 00:00:00,483,
B26H0182,002,1979/01/15 00:00:00,471,
B26H0182,002,1979/01/29 00:00:00,459,
B26H0182,002,1979/02/28 00:00:00,447,
B26H0182,002,1979/03/14 00:00:00,430,
B26H0182,002,1979/03/28 00:00:00,416,
B26H0182,002,1979/04/12 00:00:00,402,
B26H0182,002,1979/04/27 00:00:00,400,
B26H0182,002,1979/05/14 00:00:00,383,
B26H0182,002,1979/05/28 00:00:00,379,
B26H0182,002,1979/06/14 00:00:00,361,
B26H0182,002,1979/06/28 00:00:00,354,
B26H0182,002,1979/07/13 00:00:00,354,
B26H0182,002,1979/07/27 00:00:00,365,
B26H0182,002,1979/08/14 00:00:00,384,
B26H0182,002,1979/08/28 00:00:00,386,
B26H0182,002,1979/09/14 00:00:00,395,
B26H0182,002,1979/09/28 00:00:00,398,
B26H0182,002,1979/10/15 00:00:00,409,
B26H0182,002,1979/10/29 00:00:00,416,
B26H0182,002,1979/11/14 00:00:00,421,
B26H0182,002,1979/11/28 00:00:00,424,
B26H0182,002,1979/12/14 00:00:00,424,
B26H0182,002,1979/12/27 00:00:00,401,
B26H0182,002,1980/01/14 00:00:00,375,
B26H0182,002,1980/01/28 00:00:00,364,
B26H0182,002,1980/02/14 00:00:00,352,
B26H0182,002,1980/02/28 00:00:00,350,
B26H0182,002,1980/03/14 00:00:00,354,
B26H0182,002,1980/03/28 00:00:00,348,
B26H0182,002,1980/04/14 00:00:00,344,
B26H0182,002,1980/04/28 00:00:00,349,
B26H0182,002,1980/05/14 00:00:00,357,
B26H0182,002,1980/05/28 00:00:00,368,
B26H0182,002,1980/06/13 00:00:00,371,
B26H0182,002,1980/06/27 00:00:00,378,
B26H0182,002,1980/07/14 00:00:00,376,
B26H0182,002,1980/07/28 00:00:00,350,
B26H0182,002,1980/08/14 00:00:00,351,
B26H0182,002,1980/08/28 00:00:00,354,
B26H0182,002,1980/09/15 00:00:00,365,
B26H0182,002,1980/09/29 00:00:00,371,
B26H0182,002,1980/10/14 00:00:00,387,
B26H0182,002,1980/10/28 00:00:00,384,
B26H0182,002,1980/11/14 00:00:00,396,
B26H0182,002,1980/11/28 00:00:00,380,
B26H0182,002,1980/12/15 00:00:00,375,
B26H0182,002,1980/12/29 00:00:00,360,
B26H0182,002,1981/01/14 00:00:00,339,
B26H0182,002,1981/01/28 00:00:00,314,
B26H0182,002,1981/02/13 00:00:00,311,
B26H0182,002,1981/02/27 00:00:00,316,
B26H0182,002,1981/03/13 00:00:00,273,
B26H0182,002,1981/03/27 00:00:00,269,
B26H0182,002,1981/04/14 00:00:00,278,
B26H0182,002,1981/04/28 00:00:00,292,
B26H0182,002,1981/05/14 00:00:00,300,
B26H0182,002,1981/05/27 00:00:00,312,
B26H0182,002,1981/06/15 00:00:00,311,
B26H0182,002,1981/06/29 00:00:00,320,
B26H0182,002,1981/07/14 00:00:00,318,
B26H0182,002,1981/07/28 00:00:00,321,
B26H0182,002,1981/08/13 00:00:00,333,
B26H0182,002,1981/08/28 00:00:00,343,
B26H0182,002,1981/09/14 00:00:00,350,
B26H0182,002,1981/09/28 00:00:00,360,
B26H0182,002,1981/10/14 00:00:00,365,
B26H0182,002,1981/10/28 00:00:00,350,
B26H0182,002,1981/11/13 00:00:00,346,
B26H0182,002,1981/11/27 00:00:00,341,
B26H0182,002,1981/12/28 00:00:00,312,
B26H0182,002,1982/01/14 00:00:00,303,
B26H0182,002,1982/01/28 00:00:00,311,
B26H0182,002,1982/02/15 00:00:00,313,
B26H0182,002,1982/03/01 00:00:00,313,
B26H0182,002,1982/03/15 00:00:00,314,
B26H0182,002,1982/03/29 00:00:00,302,
B26H0182,002,1982/04/14 00:00:00,315,
B26H0182,002,1982/04/28 00:00:00,319,
B26H0182,002,1982/05/14 00:00:00,327,
B26H0182,002,1982/05/28 00:00:00,333,
B26H0182,002,1982/06/14 00:00:00,339,
B26H0182,002,1982/06/28 00:00:00,338,
B26H0182,002,1982/07/14 00:00:00,340,
B26H0182,002,1982/07/28 00:00:00,347,
B26H0182,002,1982/08/16 00:00:00,360,
B26H0182,002,1982/08/27 00:00:00,366,
B26H0182,002,1982/09/14 00:00:00,376,
B26H0182,002,1982/09/28 00:00:00,385,
B26H0182,002,1982/10/14 00:00:00,394,
B26H0182,002,1982/10/28 00:00:00,399,
B26H0182,002,1982/11/15 00:00:00,407,
B26H0182,002,1982/11/29 00:00:00,408,
B26H0182,002,1982/12/14 00:00:00,406,
B26H0182,002,1982/12/28 00:00:00,393,
B26H0182,002,1983/01/14 00:00:00,378,
B26H0182,002,1983/01/28 00:00:00,382,
B26H0182,002,1983/02/14 00:00:00,355,
B26H0182,002,1983/02/28 00:00:00,346,
B26H0182,002,1983/03/14 00:00:00,353,
B26H0182,002,1983/03/28 00:00:00,357,
B26H0182,002,1983/04/14 00:00:00,333,
B26H0182,002,1983/04/28 00:00:00,326,
B26H0182,002,1983/05/16 00:00:00,314,
B26H0182,002,1983/05/27 00:00:00,310,
B26H0182,002,1983/06/14 00:00:00,292,
B26H0182,002,1983/06/28 00:00:00,303,
B26H0182,002,1983/07/14 00:00:00,317,
B26H0182,002,1983/07/28 00:00:00,326,
B26H0182,002,1983/08/15 00:00:00,339,
B26H0182,002,1983/08/29 00:00:00,352,
B26H0182,002,1983/09/14 00:00:00,361,
B26H0182,002,1983/09/28 00:00:00,374,
B26H0182,002,1983/10/13 00:00:00,371,
B26H0182,002,1983/10/28 00:00:00,383,
B26H0182,002,1983/11/14 00:00:00,387,
B26H0182,002,1983/11/28 00:00:00,403,
B26H0182,002,1983/12/13 00:00:00,369,
B26H0182,002,1983/12/28 00:00:00,368,
B26H0182,002,1984/01/13 00:00:00,330,
B26H0182,002,1984/01/27 00:00:00,298,
B26H0182,002,1984/02/14 00:00:00,265,
B26H0182,002,1984/02/28 00:00:00,271,
B26H0182,002,1984/03/14 00:00:00,282,
B26H0182,002,1984/03/28 00:00:00,283,
B26H0182,002,1984/04/13 00:00:00,284,
B26H0182,002,1984/04/27 00:00:00,305,
B26H0182,002,1984/05/14 00:00:00,300,
B26H0182,002,1984/05/28 00:00:00,305,
B26H0182,002,1984/06/14 00:00:00,301,
