Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B32E0002,003,32EP0002,161950,474950,68,,130,-2732,-2832,1958/09/30,1989/10/12
B32E0002,003,32EP0002,161950,474950,68,,125,-2732,-2832,1989/10/12,1998/02/01
B32E0002,003,32EP0002,161950,474950,68,,122,-2732,-2832,1998/02/01,2003/11/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B32E0002,003,1958/10/15 00:00:00,74,
B32E0002,003,1958/10/22 00:00:00,81,
B32E0002,003,1958/11/12 00:00:00,84,
B32E0002,003,1958/11/13 00:00:00,78,
B32E0002,003,1958/11/28 00:00:00,96,
B32E0002,003,1958/12/03 00:00:00,87,
B32E0002,003,1958/12/15 00:00:00,81,
B32E0002,003,1958/12/23 00:00:00,85,
B32E0002,003,1959/02/16 00:00:00,94,
B32E0002,003,1959/03/16 00:00:00,84,
B32E0002,003,1959/04/14 00:00:00,75,
B32E0002,003,1959/05/11 00:00:00,84,
B32E0002,003,1959/06/17 00:00:00,87,
B32E0002,003,1959/08/17 00:00:00,93,
B32E0002,003,1959/09/21 00:00:00,102,
B32E0002,003,1959/10/14 00:00:00,111,
B32E0002,003,1959/11/13 00:00:00,113,
B32E0002,003,1959/12/10 00:00:00,101,
B32E0002,003,1960/02/02 00:00:00,90,
B32E0002,003,1960/03/01 00:00:00,90,
B32E0002,003,1960/04/04 00:00:00,88,
B32E0002,003,1960/06/01 00:00:00,89,
B32E0002,003,1960/07/07 00:00:00,85,
B32E0002,003,1960/08/04 00:00:00,75,
B32E0002,003,1960/09/08 00:00:00,75,
B32E0002,003,1960/10/07 00:00:00,78,
B32E0002,003,1960/11/07 00:00:00,73,
B32E0002,003,1960/12/01 00:00:00,56,
B32E0002,003,1961/01/03 00:00:00,74,
B32E0002,003,1961/02/01 00:00:00,67,
B32E0002,003,1961/03/03 00:00:00,89,
B32E0002,003,1961/04/04 00:00:00,85,
B32E0002,003,1961/05/10 00:00:00,83,
B32E0002,003,1961/06/05 00:00:00,93,
B32E0002,003,1961/07/06 00:00:00,99,
B32E0002,003,1961/08/04 00:00:00,98,
B32E0002,003,1961/09/04 00:00:00,89,
B32E0002,003,1961/10/09 00:00:00,97,
B32E0002,003,1961/11/06 00:00:00,80,
B32E0002,003,1961/12/06 00:00:00,72,
B32E0002,003,1962/01/05 00:00:00,89,
B32E0002,003,1962/02/07 00:00:00,84,
B32E0002,003,1962/03/13 00:00:00,95,
B32E0002,003,1962/04/19 00:00:00,89,
