Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B32E0013,002,32EP0013,165960,472300,419,,489,-2881,-2981,1958/05/19,1972/08/28
B32E0013,002,32EP0013,165960,472300,433,,419,-2881,-2981,1972/08/28,1989/09/14
B32E0013,002,32EP0013,165960,472300,433,,412,-2881,-2981,1989/09/14,1998/02/01
B32E0013,002,32EP0013,165960,472300,433,,410,-2881,-2981,1998/02/01,2003/10/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B32E0013,002,1958/08/13 00:00:00,-187,
B32E0013,002,1958/08/20 00:00:00,-185,
B32E0013,002,1958/09/02 00:00:00,-178,
B32E0013,002,1958/09/16 00:00:00,-176,
B32E0013,002,1958/10/15 00:00:00,-210,
B32E0013,002,1958/10/22 00:00:00,-207,
B32E0013,002,1958/11/12 00:00:00,-214,
B32E0013,002,1958/11/21 00:00:00,-200,
B32E0013,002,1958/12/02 00:00:00,-204,
B32E0013,002,1958/12/16 00:00:00,-219,
B32E0013,002,1959/01/08 00:00:00,-223,
B32E0013,002,1959/03/11 00:00:00,-202,
B32E0013,002,1959/04/14 00:00:00,-217,
B32E0013,002,1959/05/13 00:00:00,-193,
B32E0013,002,1959/06/17 00:00:00,-163,
B32E0013,002,1959/08/17 00:00:00,-157,
B32E0013,002,1959/09/21 00:00:00,-141,
B32E0013,002,1959/10/14 00:00:00,-138,
B32E0013,002,1959/11/13 00:00:00,-160,
B32E0013,002,1959/12/10 00:00:00,,B
B32E0013,002,1960/02/03 00:00:00,-215,
B32E0013,002,1960/03/01 00:00:00,-213,
B32E0013,002,1960/04/08 00:00:00,-195,
B32E0013,002,1960/05/06 00:00:00,-175,
B32E0013,002,1960/06/04 00:00:00,-158,
B32E0013,002,1960/07/07 00:00:00,-158,
B32E0013,002,1960/08/04 00:00:00,-178,
B32E0013,002,1960/09/08 00:00:00,-215,
B32E0013,002,1960/10/07 00:00:00,-186,
B32E0013,002,1960/11/07 00:00:00,-235,
B32E0013,002,1960/12/05 00:00:00,-243,
B32E0013,002,1961/01/03 00:00:00,-238,
B32E0013,002,1961/02/01 00:00:00,-243,
B32E0013,002,1961/03/03 00:00:00,-240,
B32E0013,002,1961/04/06 00:00:00,-234,
B32E0013,002,1961/05/10 00:00:00,-209,
B32E0013,002,1961/06/07 00:00:00,-194,
B32E0013,002,1961/07/06 00:00:00,-172,
B32E0013,002,1961/08/04 00:00:00,-191,
B32E0013,002,1961/09/04 00:00:00,-202,
B32E0013,002,1961/10/09 00:00:00,-210,
B32E0013,002,1961/11/06 00:00:00,-232,
B32E0013,002,1961/12/06 00:00:00,-244,
B32E0013,002,1962/02/07 00:00:00,-248,
B32E0013,002,1962/03/13 00:00:00,-231,
B32E0013,002,1962/04/19 00:00:00,-242,
B32E0013,002,1962/05/07 00:00:00,-221,
B32E0013,002,1962/06/06 00:00:00,-218,
B32E0013,002,1962/07/06 00:00:00,-202,
B32E0013,002,1962/08/09 00:00:00,-202,
B32E0013,002,1962/09/05 00:00:00,-201,
B32E0013,002,1962/10/18 00:00:00,-199,
B32E0013,002,1962/11/07 00:00:00,-204,
B32E0013,002,1963/03/21 00:00:00,-234,
B32E0013,002,1963/04/03 00:00:00,-229,
B32E0013,002,1963/05/08 00:00:00,-223,
B32E0013,002,1963/06/11 00:00:00,-187,
B32E0013,002,1963/07/02 00:00:00,-193,
B32E0013,002,1963/08/06 00:00:00,-187,
B32E0013,002,1963/09/03 00:00:00,-225,
