Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B32E0063,004,32EP0068,166320,472220,522,,637,-14780,-14980,1971/11/24,1988/03/07
B32E0063,004,32EP0068,166320,472220,504,,586,-14780,-14980,1988/03/07,1989/09/14
B32E0063,004,32EP0068,166320,472220,522,,581,-14780,-14980,1989/09/14,1990/03/20
B32E0063,004,32EP0068,166320,472220,522,,575,-14780,-14980,1990/03/20,1990/06/20
B32E0063,004,32EP0068,166320,472220,522,,572,-14780,-14980,1990/06/20,1998/02/01
B32E0063,004,32EP0068,166320,472220,522,,578,-14780,-14980,1998/02/01,2013/04/08

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B32E0063,004,1973/04/06 00:00:00,-121,
B32E0063,004,1973/04/19 00:00:00,-122,
B32E0063,004,1973/05/07 00:00:00,-120,
B32E0063,004,1973/05/21 00:00:00,-113,
B32E0063,004,1973/06/01 00:00:00,-114,
B32E0063,004,1973/06/18 00:00:00,-106,
B32E0063,004,1973/07/03 00:00:00,-103,
B32E0063,004,1973/07/17 00:00:00,-93,
B32E0063,004,1973/08/01 00:00:00,-91,
B32E0063,004,1973/08/24 00:00:00,-85,
B32E0063,004,1973/09/03 00:00:00,-86,
B32E0063,004,1973/09/17 00:00:00,-78,
B32E0063,004,1973/10/03 00:00:00,-85,
B32E0063,004,1973/10/16 00:00:00,-92,
B32E0063,004,1973/11/02 00:00:00,-101,
B32E0063,004,1973/11/19 00:00:00,-105,
B32E0063,004,1974/01/17 00:00:00,-125,
B32E0063,004,1974/02/01 00:00:00,-127,
B32E0063,004,1974/02/15 00:00:00,-126,
B32E0063,004,1974/04/01 00:00:00,-122,
B32E0063,004,1974/04/16 00:00:00,-112,
B32E0063,004,1974/05/01 00:00:00,-109,
B32E0063,004,1974/05/15 00:00:00,-103,
B32E0063,004,1974/06/04 00:00:00,-96,
B32E0063,004,1974/06/17 00:00:00,-102,
B32E0063,004,1974/07/02 00:00:00,-92,
B32E0063,004,1974/07/16 00:00:00,-99,
B32E0063,004,1974/08/02 00:00:00,-95,
B32E0063,004,1974/08/26 00:00:00,-98,
B32E0063,004,1974/09/03 00:00:00,-92,
B32E0063,004,1974/09/26 00:00:00,-98,
B32E0063,004,1974/10/07 00:00:00,-112,
B32E0063,004,1974/10/18 00:00:00,-109,
B32E0063,004,1974/11/18 00:00:00,-126,
B32E0063,004,1974/11/29 00:00:00,-130,
B32E0063,004,1974/12/12 00:00:00,-135,
B32E0063,004,1975/01/03 00:00:00,-140,
B32E0063,004,1975/01/20 00:00:00,-137,
B32E0063,004,1975/02/03 00:00:00,-142,
B32E0063,004,1975/02/19 00:00:00,-138,
B32E0063,004,1975/03/04 00:00:00,-142,
