Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B32E0124,001,32EP0074,169690,472800,1457,,1517,816,708,1989/02/01,1998/02/01
B32E0124,001,32EP0074,169690,472800,1457,,1516,816,708,1998/02/01,2017/07/11

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B32E0124,001,1989/03/14 00:00:00,230,
B32E0124,001,1989/03/28 00:00:00,216,
B32E0124,001,1989/04/14 00:00:00,215,
B32E0124,001,1989/04/28 00:00:00,220,
B32E0124,001,1989/05/16 00:00:00,230,
B32E0124,001,1989/05/26 00:00:00,142,
B32E0124,001,1989/06/14 00:00:00,250,
B32E0124,001,1989/06/27 00:00:00,259,
B32E0124,001,1989/07/14 00:00:00,265,
B32E0124,001,1989/07/28 00:00:00,274,
B32E0124,001,1989/08/14 00:00:00,279,
B32E0124,001,1989/08/28 00:00:00,285,
B32E0124,001,1989/09/14 00:00:00,290,
B32E0124,001,1989/09/28 00:00:00,295,
B32E0124,001,1989/10/13 00:00:00,300,
B32E0124,001,1989/10/27 00:00:00,304,
B32E0124,001,1989/11/14 00:00:00,308,
B32E0124,001,1989/11/28 00:00:00,310,
B32E0124,001,1989/12/14 00:00:00,313,
B32E0124,001,1989/12/27 00:00:00,305,
B32E0124,001,1990/01/15 00:00:00,298,
B32E0124,001,1990/01/29 00:00:00,298,
B32E0124,001,1990/02/14 00:00:00,288,
B32E0124,001,1990/02/28 00:00:00,274,
B32E0124,001,1990/03/14 00:00:00,252,
B32E0124,001,1990/03/28 00:00:00,248,
B32E0124,001,1990/04/12 00:00:00,252,
B32E0124,001,1990/04/27 00:00:00,259,
B32E0124,001,1990/05/14 00:00:00,268,
B32E0124,001,1990/05/28 00:00:00,275,
B32E0124,001,1990/06/14 00:00:00,283,
B32E0124,001,1990/06/28 00:00:00,287,
B32E0124,001,1990/07/16 00:00:00,295,
B32E0124,001,1990/07/27 00:00:00,299,
B32E0124,001,1990/08/14 00:00:00,310,
