Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B32E0173,001,32EL0035,167490,471400,754,,745,474,374,1979/07/10,1988/08/16
B32E0173,001,32EL0035,167490,471400,754,,825,474,374,1988/08/16,2017/07/11

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B32E0173,001,1980/01/14 00:00:00,72,
B32E0173,001,1980/01/28 00:00:00,57,
B32E0173,001,1980/02/14 00:00:00,59,
B32E0173,001,1980/02/28 00:00:00,66,
B32E0173,001,1980/03/14 00:00:00,46,
B32E0173,001,1980/03/28 00:00:00,61,
B32E0173,001,1980/04/14 00:00:00,70,
B32E0173,001,1980/04/28 00:00:00,72,
B32E0173,001,1980/05/14 00:00:00,96,
B32E0173,001,1980/05/28 00:00:00,105,
B32E0173,001,1980/06/13 00:00:00,116,
B32E0173,001,1980/06/27 00:00:00,89,
B32E0173,001,1980/07/14 00:00:00,43,
B32E0173,001,1980/07/28 00:00:00,78,
B32E0173,001,1980/08/14 00:00:00,74,
B32E0173,001,1980/08/28 00:00:00,96,
B32E0173,001,1980/09/15 00:00:00,64,
B32E0173,001,1980/09/29 00:00:00,89,
B32E0173,001,1980/10/14 00:00:00,77,
B32E0173,001,1980/10/28 00:00:00,63,
B32E0173,001,1980/11/14 00:00:00,47,
B32E0173,001,1980/11/28 00:00:00,45,
B32E0173,001,1980/12/15 00:00:00,49,
B32E0173,001,1980/12/29 00:00:00,54,
B32E0173,001,1981/01/14 00:00:00,49,
B32E0173,001,1981/01/28 00:00:00,53,
B32E0173,001,1981/02/13 00:00:00,57,
B32E0173,001,1981/02/27 00:00:00,59,
B32E0173,001,1981/03/13 00:00:00,14,
B32E0173,001,1981/03/27 00:00:00,47,
B32E0173,001,1981/04/14 00:00:00,81,
B32E0173,001,1981/04/28 00:00:00,88,
B32E0173,001,1981/05/14 00:00:00,87,
B32E0173,001,1981/05/27 00:00:00,62,
B32E0173,001,1981/06/15 00:00:00,81,
B32E0173,001,1981/06/29 00:00:00,67,
B32E0173,001,1981/07/14 00:00:00,71,
B32E0173,001,1981/07/28 00:00:00,59,
B32E0173,001,1981/08/13 00:00:00,90,
B32E0173,001,1981/08/28 00:00:00,91,
B32E0173,001,1981/09/14 00:00:00,91,
B32E0173,001,1981/09/28 00:00:00,90,
B32E0173,001,1981/10/14 00:00:00,48,
B32E0173,001,1981/10/28 00:00:00,57,
B32E0173,001,1981/11/13 00:00:00,54,
B32E0173,001,1981/11/27 00:00:00,45,
B32E0173,001,1981/12/28 00:00:00,53,
B32E0173,001,1982/01/14 00:00:00,76,
B32E0173,001,1982/01/28 00:00:00,46,
B32E0173,001,1982/02/15 00:00:00,58,
B32E0173,001,1982/03/01 00:00:00,45,
B32E0173,001,1982/03/15 00:00:00,53,
B32E0173,001,1982/03/29 00:00:00,63,
B32E0173,001,1982/04/14 00:00:00,74,
B32E0173,001,1982/04/28 00:00:00,87,
B32E0173,001,1982/05/14 00:00:00,88,
B32E0173,001,1982/05/28 00:00:00,79,
B32E0173,001,1982/06/14 00:00:00,99,
B32E0173,001,1982/06/28 00:00:00,58,
B32E0173,001,1982/07/14 00:00:00,104,
B32E0173,001,1982/07/28 00:00:00,118,
B32E0173,001,1982/08/16 00:00:00,126,
B32E0173,001,1982/08/27 00:00:00,122,
B32E0173,001,1982/09/14 00:00:00,133,
B32E0173,001,1982/09/28 00:00:00,117,
B32E0173,001,1982/10/14 00:00:00,66,
B32E0173,001,1982/10/28 00:00:00,74,
B32E0173,001,1982/11/15 00:00:00,52,
B32E0173,001,1982/11/29 00:00:00,62,
B32E0173,001,1982/12/14 00:00:00,52,
B32E0173,001,1982/12/28 00:00:00,53,
B32E0173,001,1983/01/14 00:00:00,48,
B32E0173,001,1983/01/28 00:00:00,54,
B32E0173,001,1983/02/14 00:00:00,69,
B32E0173,001,1983/02/28 00:00:00,45,
B32E0173,001,1983/03/14 00:00:00,66,
B32E0173,001,1983/03/28 00:00:00,40,
B32E0173,001,1983/04/14 00:00:00,50,
B32E0173,001,1983/04/28 00:00:00,48,
B32E0173,001,1983/05/16 00:00:00,52,
B32E0173,001,1983/05/27 00:00:00,28,
B32E0173,001,1983/06/14 00:00:00,69,
B32E0173,001,1983/06/28 00:00:00,89,
B32E0173,001,1983/07/14 00:00:00,104,
B32E0173,001,1983/07/28 00:00:00,118,
B32E0173,001,1983/08/15 00:00:00,129,
B32E0173,001,1983/08/29 00:00:00,104,
B32E0173,001,1983/09/14 00:00:00,65,
B32E0173,001,1983/09/28 00:00:00,74,
B32E0173,001,1983/10/13 00:00:00,68,
B32E0173,001,1983/10/28 00:00:00,67,
B32E0173,001,1983/11/14 00:00:00,82,
B32E0173,001,1983/11/28 00:00:00,36,
B32E0173,001,1983/12/13 00:00:00,57,
B32E0173,001,1983/12/28 00:00:00,43,
B32E0173,001,1984/01/13 00:00:00,28,
B32E0173,001,1984/01/27 00:00:00,55,
B32E0173,001,1984/02/14 00:00:00,53,
B32E0173,001,1984/02/28 00:00:00,57,
B32E0173,001,1984/03/14 00:00:00,56,
B32E0173,001,1984/03/28 00:00:00,36,
B32E0173,001,1984/04/13 00:00:00,59,
B32E0173,001,1984/04/27 00:00:00,83,
B32E0173,001,1984/05/14 00:00:00,80,
B32E0173,001,1984/05/28 00:00:00,51,
B32E0173,001,1984/06/14 00:00:00,54,
B32E0173,001,1984/06/28 00:00:00,71,
B32E0173,001,1984/07/13 00:00:00,53,
B32E0173,001,1984/07/27 00:00:00,72,
B32E0173,001,1984/08/14 00:00:00,99,
B32E0173,001,1984/08/28 00:00:00,115,
B32E0173,001,1984/09/14 00:00:00,79,
B32E0173,001,1984/09/27 00:00:00,51,
B32E0173,001,1984/10/15 00:00:00,54,
B32E0173,001,1984/10/29 00:00:00,43,
B32E0173,001,1984/11/14 00:00:00,57,
B32E0173,001,1984/11/28 00:00:00,46,
B32E0173,001,1984/12/14 00:00:00,39,
B32E0173,001,1984/12/28 00:00:00,49,
B32E0173,001,1985/01/28 00:00:00,47,
B32E0173,001,1985/02/14 00:00:00,74,
B32E0173,001,1985/02/28 00:00:00,59,
B32E0173,001,1985/03/14 00:00:00,49,
B32E0173,001,1985/03/28 00:00:00,51,
B32E0173,001,1985/04/15 00:00:00,39,
B32E0173,001,1985/04/29 00:00:00,54,
B32E0173,001,1985/05/13 00:00:00,47,
B32E0173,001,1985/05/28 00:00:00,59,
B32E0173,001,1985/06/14 00:00:00,37,
B32E0173,001,1985/06/28 00:00:00,50,
B32E0173,001,1985/07/12 00:00:00,84,
B32E0173,001,1985/07/29 00:00:00,44,
B32E0173,001,1985/08/14 00:00:00,64,
B32E0173,001,1985/08/28 00:00:00,64,
B32E0173,001,1985/09/13 00:00:00,62,
B32E0173,001,1985/09/27 00:00:00,73,
B32E0173,001,1985/10/14 00:00:00,68,
B32E0173,001,1985/10/28 00:00:00,81,
B32E0173,001,1985/11/14 00:00:00,47,
B32E0173,001,1985/11/28 00:00:00,49,
B32E0173,001,1985/12/13 00:00:00,50,
B32E0173,001,1985/12/24 00:00:00,46,
B32E0173,001,1986/01/14 00:00:00,34,
B32E0173,001,1986/02/14 00:00:00,73,
B32E0173,001,1986/02/28 00:00:00,81,
B32E0173,001,1986/03/14 00:00:00,53,
B32E0173,001,1986/03/27 00:00:00,40,
B32E0173,001,1986/04/14 00:00:00,61,
B32E0173,001,1986/04/28 00:00:00,62,
B32E0173,001,1986/05/14 00:00:00,71,
B32E0173,001,1986/05/28 00:00:00,94,
B32E0173,001,1986/06/13 00:00:00,74,
B32E0173,001,1986/06/30 00:00:00,115,
B32E0173,001,1986/07/28 00:00:00,123,
B32E0173,001,1986/08/14 00:00:00,129,
B32E0173,001,1986/08/28 00:00:00,92,
B32E0173,001,1986/09/15 00:00:00,92,
B32E0173,001,1986/09/29 00:00:00,102,
B32E0173,001,1986/10/14 00:00:00,105,
B32E0173,001,1986/10/28 00:00:00,49,
B32E0173,001,1986/11/14 00:00:00,54,
B32E0173,001,1986/11/28 00:00:00,54,
B32E0173,001,1986/12/12 00:00:00,59,
B32E0173,001,1986/12/28 00:00:00,32,
B32E0173,001,1987/01/28 00:00:00,53,
B32E0173,001,1987/02/13 00:00:00,52,
B32E0173,001,1987/02/27 00:00:00,47,
B32E0173,001,1987/03/13 00:00:00,62,
B32E0173,001,1987/03/27 00:00:00,51,
B32E0173,001,1987/04/14 00:00:00,58,
B32E0173,001,1987/04/28 00:00:00,84,
B32E0173,001,1987/05/14 00:00:00,62,
B32E0173,001,1987/05/27 00:00:00,78,
B32E0173,001,1987/06/15 00:00:00,58,
B32E0173,001,1987/06/29 00:00:00,70,
B32E0173,001,1987/07/14 00:00:00,107,
B32E0173,001,1987/07/27 00:00:00,51,
B32E0173,001,1987/08/14 00:00:00,43,
B32E0173,001,1987/08/28 00:00:00,65,
B32E0173,001,1987/09/14 00:00:00,51,
B32E0173,001,1987/09/28 00:00:00,45,
B32E0173,001,1987/10/14 00:00:00,57,
B32E0173,001,1987/10/28 00:00:00,67,
B32E0173,001,1987/11/13 00:00:00,49,
B32E0173,001,1987/11/27 00:00:00,48,
B32E0173,001,1987/12/14 00:00:00,61,
B32E0173,001,1987/12/28 00:00:00,54,
B32E0173,001,1988/01/14 00:00:00,52,
B32E0173,001,1988/01/28 00:00:00,37,
B32E0173,001,1988/02/15 00:00:00,55,
B32E0173,001,1988/02/29 00:00:00,49,
B32E0173,001,1988/03/14 00:00:00,49,
B32E0173,001,1988/03/28 00:00:00,49,
B32E0173,001,1988/04/14 00:00:00,74,
B32E0173,001,1988/04/28 00:00:00,84,
B32E0173,001,1988/05/12 00:00:00,84,
B32E0173,001,1988/05/27 00:00:00,,D
B32E0173,001,1988/06/14 00:00:00,100,
B32E0173,001,1988/06/28 00:00:00,84,
B32E0173,001,1988/07/13 00:00:00,,D
B32E0173,001,1988/07/28 00:00:00,59,
B32E0173,001,1988/08/15 00:00:00,,D
B32E0173,001,1988/08/29 00:00:00,62,
B32E0173,001,1988/09/14 00:00:00,58,
B32E0173,001,1988/09/28 00:00:00,50,
B32E0173,001,1988/10/14 00:00:00,55,
B32E0173,001,1988/10/28 00:00:00,69,
B32E0173,001,1988/11/14 00:00:00,57,
B32E0173,001,1988/11/25 00:00:00,63,
