Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B32E0212,001,32EL0082,162700,472890,22,,82,-170,-278,1989/12/18,1998/02/01
B32E0212,001,32EL0082,162700,472890,22,,83,-170,-278,1998/02/01,2003/11/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B32E0212,001,1990/01/15 00:00:00,44,
B32E0212,001,1990/01/29 00:00:00,15,
B32E0212,001,1990/02/14 00:00:00,6,
B32E0212,001,1990/02/28 00:00:00,14,
B32E0212,001,1990/03/14 00:00:00,35,
B32E0212,001,1990/03/28 00:00:00,43,
B32E0212,001,1990/04/12 00:00:00,54,
B32E0212,001,1990/04/28 00:00:00,54,
B32E0212,001,1990/05/14 00:00:00,56,
B32E0212,001,1990/05/28 00:00:00,71,
B32E0212,001,1990/06/14 00:00:00,67,
B32E0212,001,1990/06/28 00:00:00,55,
B32E0212,001,1990/07/13 00:00:00,59,
B32E0212,001,1990/07/27 00:00:00,77,
B32E0212,001,1990/08/14 00:00:00,102,
B32E0212,001,1990/08/28 00:00:00,87,
B32E0212,001,1990/09/14 00:00:00,84,
B32E0212,001,1990/09/28 00:00:00,69,
B32E0212,001,1990/10/15 00:00:00,67,
B32E0212,001,1990/10/29 00:00:00,59,
B32E0212,001,1990/11/14 00:00:00,36,
B32E0212,001,1990/11/28 00:00:00,33,
B32E0212,001,1990/12/14 00:00:00,31,
B32E0212,001,1990/12/28 00:00:00,18,
B32E0212,001,1991/01/14 00:00:00,28,
B32E0212,001,1991/01/28 00:00:00,39,
B32E0212,001,1991/02/14 00:00:00,53,
B32E0212,001,1991/02/28 00:00:00,32,
B32E0212,001,1991/03/14 00:00:00,47,
B32E0212,001,1991/03/28 00:00:00,54,
B32E0212,001,1991/04/15 00:00:00,62,
B32E0212,001,1991/04/29 00:00:00,59,
B32E0212,001,1991/05/14 00:00:00,61,
B32E0212,001,1991/05/28 00:00:00,62,
B32E0212,001,1991/06/14 00:00:00,62,
B32E0212,001,1991/06/28 00:00:00,14,
B32E0212,001,1991/07/15 00:00:00,48,
B32E0212,001,1991/07/29 00:00:00,58,
B32E0212,001,1991/08/14 00:00:00,69,
B32E0212,001,1991/08/28 00:00:00,80,
B32E0212,001,1991/09/13 00:00:00,93,
B32E0212,001,1991/09/27 00:00:00,71,
B32E0212,001,1991/10/14 00:00:00,57,
B32E0212,001,1991/10/28 00:00:00,54,
B32E0212,001,1991/11/14 00:00:00,12,
