Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B32E0296,001,32EP7001,162780,474960,-2,,62,-147,-197,1995/02/13,2007/12/12
B32E0296,001,32EP7001,162780,474960,-2,,49,-142,-192,2007/12/12,2017/03/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B32E0296,001,1995/02/14 00:00:00,26,
B32E0296,001,1995/06/14 00:00:00,26,
B32E0296,001,1995/06/28 00:00:00,49,
B32E0296,001,1995/07/13 00:00:00,59,
B32E0296,001,1995/07/28 00:00:00,58,
B32E0296,001,1995/08/14 00:00:00,76,
B32E0296,001,1995/08/28 00:00:00,73,
B32E0296,001,1995/09/14 00:00:00,66,
B32E0296,001,1995/09/28 00:00:00,47,
B32E0296,001,1995/10/13 00:00:00,53,
B32E0296,001,1995/10/27 00:00:00,57,
B32E0296,001,1995/11/14 00:00:00,58,
B32E0296,001,1995/11/28 00:00:00,52,
B32E0296,001,1995/12/14 00:00:00,59,
B32E0296,001,1995/12/28 00:00:00,39,
B32E0296,001,1996/01/15 00:00:00,38,
B32E0296,001,1996/01/29 00:00:00,,Y
B32E0296,001,1996/02/14 00:00:00,40,
B32E0296,001,1996/02/28 00:00:00,26,
B32E0296,001,1996/03/14 00:00:00,38,
B32E0296,001,1996/03/28 00:00:00,42,
B32E0296,001,1996/04/15 00:00:00,56,
B32E0296,001,1996/04/26 00:00:00,61,
B32E0296,001,1996/05/13 00:00:00,62,
B32E0296,001,1996/05/28 00:00:00,,N
B32E0296,001,1996/06/13 00:00:00,74,
B32E0296,001,1996/06/28 00:00:00,72,
B32E0296,001,1996/07/15 00:00:00,65,
B32E0296,001,1996/07/29 00:00:00,65,
B32E0296,001,1996/08/13 00:00:00,52,
B32E0296,001,1996/08/27 00:00:00,59,
B32E0296,001,1996/09/13 00:00:00,53,
B32E0296,001,1996/09/27 00:00:00,55,
B32E0296,001,1996/10/14 00:00:00,51,
B32E0296,001,1996/10/28 00:00:00,27,
B32E0296,001,1996/11/14 00:00:00,20,
B32E0296,001,1996/11/28 00:00:00,24,
B32E0296,001,1996/12/13 00:00:00,31,
B32E0296,001,1996/12/28 00:00:00,,N
B32E0296,001,1997/01/13 00:00:00,70,
B32E0296,001,1997/01/28 00:00:00,41,
B32E0296,001,1997/02/14 00:00:00,21,
B32E0296,001,1997/02/28 00:00:00,18,
B32E0296,001,1997/03/14 00:00:00,,N
B32E0296,001,1997/03/27 00:00:00,38,
B32E0296,001,1997/04/15 00:00:00,60,
B32E0296,001,1997/04/29 00:00:00,50,
B32E0296,001,1997/05/14 00:00:00,32,
B32E0296,001,1997/05/27 00:00:00,49,
B32E0296,001,1997/06/14 00:00:00,44,
B32E0296,001,1997/06/27 00:00:00,48,
B32E0296,001,1997/07/14 00:00:00,60,
B32E0296,001,1997/07/28 00:00:00,49,
B32E0296,001,1997/08/14 00:00:00,58,
B32E0296,001,1997/08/28 00:00:00,46,
B32E0296,001,1997/09/15 00:00:00,53,
B32E0296,001,1997/09/29 00:00:00,58,
B32E0296,001,1997/10/13 00:00:00,122,
B32E0296,001,1997/10/28 00:00:00,46,
B32E0296,001,1997/11/14 00:00:00,51,
B32E0296,001,1997/11/27 00:00:00,55,
B32E0296,001,1997/12/15 00:00:00,27,
B32E0296,001,1997/12/28 00:00:00,21,
B32E0296,001,1998/01/13 00:00:00,25,
B32E0296,001,1998/01/28 00:00:00,46,
B32E0296,001,1998/02/13 00:00:00,50,
B32E0296,001,1998/02/28 00:00:00,51,
B32E0296,001,1998/03/16 00:00:00,19,
B32E0296,001,1998/03/27 00:00:00,44,
B32E0296,001,1998/04/15 00:00:00,29,
B32E0296,001,1998/04/28 00:00:00,24,
B32E0296,001,1998/05/14 00:00:00,52,
B32E0296,001,1998/05/27 00:00:00,48,
B32E0296,001,1998/06/14 00:00:00,,N
B32E0296,001,1998/06/28 00:00:00,,N
B32E0296,001,1998/07/14 00:00:00,46,
B32E0296,001,1998/07/29 00:00:00,48,
B32E0296,001,1998/08/14 00:00:00,58,
B32E0296,001,1998/08/28 00:00:00,43,
B32E0296,001,1998/09/14 00:00:00,28,
B32E0296,001,1998/09/28 00:00:00,28,
B32E0296,001,1998/10/15 00:00:00,26,
B32E0296,001,1998/10/29 00:00:00,20,
B32E0296,001,1998/11/13 00:00:00,22,
B32E0296,001,1998/11/30 00:00:00,26,
B32E0296,001,1998/12/14 00:00:00,27,
B32E0296,001,1998/12/28 00:00:00,25,
