Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B32E0297,001,32EP7800,164870,472820,145,,148,-102,-152,1985/03/14,1991/06/06

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B32E0297,001,1985/03/14 00:00:00,28,
B32E0297,001,1985/03/28 00:00:00,27,
B32E0297,001,1985/04/15 00:00:00,7,
B32E0297,001,1985/04/29 00:00:00,,N
B32E0297,001,1985/05/14 00:00:00,30,
B32E0297,001,1985/05/29 00:00:00,36,
B32E0297,001,1985/06/17 00:00:00,33,
B32E0297,001,1985/06/28 00:00:00,22,
B32E0297,001,1985/07/12 00:00:00,51,
B32E0297,001,1985/07/29 00:00:00,29,
B32E0297,001,1985/08/19 00:00:00,32,
B32E0297,001,1985/08/28 00:00:00,43,
B32E0297,001,1985/09/16 00:00:00,48,
B32E0297,001,1985/10/02 00:00:00,,N
B32E0297,001,1985/10/15 00:00:00,47,
B32E0297,001,1985/10/31 00:00:00,49,
B32E0297,001,1985/11/14 00:00:00,18,
B32E0297,001,1986/01/28 00:00:00,13,
B32E0297,001,1986/03/14 00:00:00,39,
B32E0297,001,1986/04/14 00:00:00,28,
B32E0297,001,1986/04/28 00:00:00,35,
B32E0297,001,1986/05/14 00:00:00,35,
B32E0297,001,1986/06/30 00:00:00,73,
B32E0297,001,1986/07/14 00:00:00,81,
B32E0297,001,1986/07/28 00:00:00,92,
B32E0297,001,1987/03/13 00:00:00,16,
B32E0297,001,1987/03/30 00:00:00,25,
B32E0297,001,1987/04/15 00:00:00,25,
B32E0297,001,1987/04/29 00:00:00,42,
B32E0297,001,1987/05/14 00:00:00,34,
B32E0297,001,1987/05/28 00:00:00,42,
B32E0297,001,1987/06/14 00:00:00,31,
B32E0297,001,1987/06/28 00:00:00,44,
B32E0297,001,1987/07/14 00:00:00,68,
B32E0297,001,1987/07/28 00:00:00,32,
B32E0297,001,1987/08/14 00:00:00,33,
B32E0297,001,1987/08/28 00:00:00,42,
B32E0297,001,1987/09/14 00:00:00,45,
B32E0297,001,1987/09/28 00:00:00,32,
B32E0297,001,1987/10/14 00:00:00,23,
B32E0297,001,1987/10/30 00:00:00,31,
