Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-12-2017,,,,,,,,
Gegevens beschikbaar:,14-03-1985,tot:,30-05-1991,,,,,,,,
Datum: ,18-12-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B32E0297,001,32EP7800,164870,472820,145,14-03-1985,14-03-1985,06-06-1991,148,3,-102,-152


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B32E0297,001,14-03-1985,31,28,117,,,,,,
B32E0297,001,28-03-1985,30,27,118,,,,,,
B32E0297,001,15-04-1985,10,7,138,,,,,,
B32E0297,001,29-04-1985,,,,N,,,,,
B32E0297,001,14-05-1985,33,30,115,,,,,,
B32E0297,001,29-05-1985,39,36,109,,,,,,
B32E0297,001,17-06-1985,36,33,112,,,,,,
B32E0297,001,28-06-1985,25,22,123,,,,,,
B32E0297,001,12-07-1985,54,51,94,,,,,,
B32E0297,001,29-07-1985,32,29,116,,,,,,
B32E0297,001,19-08-1985,35,32,113,,,,,,
B32E0297,001,28-08-1985,46,43,102,,,,,,
B32E0297,001,16-09-1985,51,48,97,,,,,,
B32E0297,001,02-10-1985,,,,N,,,,,
B32E0297,001,15-10-1985,50,47,98,,,,,,
B32E0297,001,31-10-1985,52,49,96,,,,,,
B32E0297,001,14-11-1985,21,18,127,,,,,,
B32E0297,001,28-01-1986,16,13,132,,,,,,
B32E0297,001,14-03-1986,42,39,106,,,,,,
B32E0297,001,14-04-1986,31,28,117,,,,,,
B32E0297,001,28-04-1986,38,35,110,,,,,,
B32E0297,001,14-05-1986,38,35,110,,,,,,
B32E0297,001,30-06-1986,76,73,72,,,,,,
B32E0297,001,14-07-1986,84,81,64,,,,,,
B32E0297,001,28-07-1986,95,92,53,,,,,,
B32E0297,001,13-03-1987,19,16,129,,,,,,
B32E0297,001,30-03-1987,28,25,120,,,,,,
B32E0297,001,15-04-1987,28,25,120,,,,,,
B32E0297,001,29-04-1987,45,42,103,,,,,,
B32E0297,001,14-05-1987,37,34,111,,,,,,
B32E0297,001,28-05-1987,45,42,103,,,,,,
B32E0297,001,14-06-1987,34,31,114,,,,,,
B32E0297,001,28-06-1987,47,44,101,,,,,,
B32E0297,001,14-07-1987,71,68,77,,,,,,
B32E0297,001,28-07-1987,35,32,113,,,,,,
B32E0297,001,14-08-1987,36,33,112,,,,,,
B32E0297,001,28-08-1987,45,42,103,,,,,,
B32E0297,001,14-09-1987,48,45,100,,,,,,
B32E0297,001,28-09-1987,35,32,113,,,,,,
B32E0297,001,14-10-1987,26,23,122,,,,,,
B32E0297,001,30-10-1987,34,31,114,,,,,,
B32E0297,001,14-11-1987,28,25,120,,,,,,
B32E0297,001,28-11-1987,19,16,129,,,,,,
B32E0297,001,14-12-1987,35,32,113,,,,,,
B32E0297,001,14-01-1988,27,24,121,,,,,,
B32E0297,001,28-01-1988,0,-3,148,,,,,,
B32E0297,001,15-02-1988,23,20,125,,,,,,
B32E0297,001,28-02-1988,,,,N,,,,,
B32E0297,001,14-03-1988,16,13,132,,,,,,
B32E0297,001,28-03-1988,13,10,135,,,,,,
B32E0297,001,14-04-1988,37,34,111,,,,,,
B32E0297,001,28-04-1988,47,44,101,,,,,,
B32E0297,001,16-05-1988,59,56,89,,,,,,
B32E0297,001,30-05-1988,63,60,85,,,,,,
B32E0297,001,14-06-1988,71,68,77,,,,,,
B32E0297,001,28-06-1988,74,71,74,,,,,,
B32E0297,001,14-07-1988,54,51,94,,,,,,
B32E0297,001,28-07-1988,51,48,97,,,,,,
B32E0297,001,14-08-1988,,,,N,,,,,
B32E0297,001,28-08-1988,61,58,87,,,,,,
B32E0297,001,14-09-1988,59,56,89,,,,,,
B32E0297,001,28-09-1988,,,,N,,,,,
B32E0297,001,14-10-1988,40,37,108,,,,,,
B32E0297,001,28-10-1988,46,43,102,,,,,,
B32E0297,001,14-11-1988,37,34,111,,,,,,
B32E0297,001,28-11-1988,43,40,105,,,,,,
B32E0297,001,14-12-1988,31,28,117,,,,,,
B32E0297,001,30-12-1988,33,30,115,,,,,,
B32E0297,001,16-01-1989,38,35,110,,,,,,
B32E0297,001,30-01-1989,37,34,111,,,,,,
B32E0297,001,14-02-1989,34,31,114,,,,,,
B32E0297,001,28-02-1989,6,3,142,,,,,,
B32E0297,001,14-03-1989,21,18,127,,,,,,
B32E0297,001,30-03-1989,35,32,113,,,,,,
B32E0297,001,14-04-1989,22,19,126,,,,,,
B32E0297,001,28-04-1989,33,30,115,,,,,,
B32E0297,001,15-05-1989,55,52,93,,,,,,
B32E0297,001,31-05-1989,56,53,92,,,,,,
B32E0297,001,14-06-1989,61,58,87,,,,,,
B32E0297,001,28-06-1989,76,73,72,,,,,,
B32E0297,001,14-07-1989,79,76,69,,,,,,
B32E0297,001,27-07-1989,80,77,68,,,,,,
B32E0297,001,14-08-1989,103,100,45,,,,,,
B32E0297,001,25-08-1989,87,84,61,,,,,,
B32E0297,001,14-09-1989,78,75,70,,,,,,
B32E0297,001,27-09-1989,74,71,74,,,,,,
B32E0297,001,13-10-1989,66,63,82,,,,,,
B32E0297,001,30-10-1989,37,34,111,,,,,,
B32E0297,001,14-11-1989,49,46,99,,,,,,
B32E0297,001,30-11-1989,48,45,100,,,,,,
B32E0297,001,14-12-1989,25,22,123,,,,,,
B32E0297,001,28-12-1989,,,,N,,,,,
B32E0297,001,15-01-1990,40,37,108,,,,,,
B32E0297,001,30-01-1990,27,24,121,,,,,,
B32E0297,001,15-02-1990,9,6,139,,,,,,
B32E0297,001,28-02-1990,12,9,136,,,,,,
B32E0297,001,14-03-1990,31,28,117,,,,,,
B32E0297,001,30-03-1990,38,35,110,,,,,,
B32E0297,001,14-05-1990,51,48,97,,,,,,
B32E0297,001,31-05-1990,69,66,79,,,,,,
B32E0297,001,14-06-1990,59,56,89,,,,,,
B32E0297,001,29-06-1990,62,59,86,,,,,,
B32E0297,001,14-07-1990,60,57,88,,,,,,
B32E0297,001,30-07-1990,62,59,86,,,,,,
B32E0297,001,14-08-1990,65,62,83,,,,,,
B32E0297,001,29-08-1990,68,65,80,,,,,,
B32E0297,001,15-09-1990,66,63,82,,,,,,
B32E0297,001,30-09-1990,63,60,85,,,,,,
B32E0297,001,28-01-1991,,,,N,,,,,
B32E0297,001,14-02-1991,,,,N,,,,,
B32E0297,001,15-04-1991,50,47,98,,,,,,
B32E0297,001,29-04-1991,46,43,102,,,,,,
B32E0297,001,14-05-1991,53,50,95,,,,,,
B32E0297,001,30-05-1991,55,52,93,,,,,,
