Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B32E0300,001,32EP7801,165056,472821,186,,231,81,31,1986/12/17,1991/06/06
B32E0300,001,32EP7801,165056,472821,186,,211,77,27,1991/06/06,2006/11/06
B32E0300,001,32EP7801,165056,472821,186,,209,73,23,2006/11/06,2006/11/07

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B32E0300,001,1987/03/13 00:00:00,-7,
B32E0300,001,1987/03/30 00:00:00,3,
B32E0300,001,1987/04/15 00:00:00,1,
B32E0300,001,1987/04/29 00:00:00,19,
B32E0300,001,1987/05/14 00:00:00,18,
B32E0300,001,1987/05/28 00:00:00,23,
B32E0300,001,1987/06/14 00:00:00,10,
B32E0300,001,1987/06/28 00:00:00,27,
B32E0300,001,1987/07/14 00:00:00,66,
B32E0300,001,1987/07/28 00:00:00,8,
B32E0300,001,1987/08/14 00:00:00,10,
B32E0300,001,1987/08/28 00:00:00,21,
B32E0300,001,1987/09/14 00:00:00,26,
B32E0300,001,1987/09/28 00:00:00,7,
B32E0300,001,1987/10/14 00:00:00,-6,
B32E0300,001,1987/10/30 00:00:00,7,
B32E0300,001,1987/11/14 00:00:00,3,
B32E0300,001,1987/11/28 00:00:00,-5,
B32E0300,001,1987/12/14 00:00:00,7,
B32E0300,001,1988/01/14 00:00:00,-1,
B32E0300,001,1988/01/28 00:00:00,-28,
B32E0300,001,1988/02/15 00:00:00,-6,
B32E0300,001,1988/02/28 00:00:00,,N
B32E0300,001,1988/03/14 00:00:00,-11,
B32E0300,001,1988/03/28 00:00:00,-15,
B32E0300,001,1988/04/14 00:00:00,9,
B32E0300,001,1988/04/28 00:00:00,26,
B32E0300,001,1988/05/16 00:00:00,45,
B32E0300,001,1988/05/30 00:00:00,67,
B32E0300,001,1988/06/14 00:00:00,69,
B32E0300,001,1988/06/28 00:00:00,77,
B32E0300,001,1988/07/14 00:00:00,49,
B32E0300,001,1988/07/28 00:00:00,34,
B32E0300,001,1988/08/14 00:00:00,,N
B32E0300,001,1988/08/28 00:00:00,64,
B32E0300,001,1988/09/14 00:00:00,51,
B32E0300,001,1988/09/28 00:00:00,,N
B32E0300,001,1988/10/14 00:00:00,23,
B32E0300,001,1988/10/28 00:00:00,34,
B32E0300,001,1988/11/14 00:00:00,25,
B32E0300,001,1988/11/28 00:00:00,23,
B32E0300,001,1988/12/14 00:00:00,6,
B32E0300,001,1988/12/30 00:00:00,8,
B32E0300,001,1989/01/16 00:00:00,13,
B32E0300,001,1989/01/30 00:00:00,12,
B32E0300,001,1989/02/14 00:00:00,11,
B32E0300,001,1989/02/28 00:00:00,-13,
B32E0300,001,1989/03/14 00:00:00,-6,
B32E0300,001,1989/03/30 00:00:00,8,
B32E0300,001,1989/04/14 00:00:00,3,
B32E0300,001,1989/04/28 00:00:00,10,
B32E0300,001,1989/05/15 00:00:00,41,
B32E0300,001,1989/05/31 00:00:00,52,
B32E0300,001,1989/06/14 00:00:00,51,
B32E0300,001,1989/06/28 00:00:00,81,
B32E0300,001,1989/07/14 00:00:00,90,
B32E0300,001,1989/07/27 00:00:00,92,
B32E0300,001,1989/08/14 00:00:00,101,
B32E0300,001,1989/08/25 00:00:00,98,
B32E0300,001,1989/09/14 00:00:00,92,
B32E0300,001,1989/09/27 00:00:00,83,
B32E0300,001,1989/10/13 00:00:00,79,
B32E0300,001,1989/10/30 00:00:00,60,
B32E0300,001,1989/11/14 00:00:00,37,
B32E0300,001,1989/11/30 00:00:00,35,
B32E0300,001,1989/12/14 00:00:00,2,
B32E0300,001,1989/12/28 00:00:00,,N
B32E0300,001,1990/01/15 00:00:00,17,
B32E0300,001,1990/01/30 00:00:00,-1,
B32E0300,001,1990/02/15 00:00:00,-14,
