Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B32E0306,001,32EP7804,166611,472965,511,,511,365,315,1991/06/06,1994/09/23
B32E0306,001,32EP7804,166611,472965,505,,554,365,315,1994/09/23,1996/09/12
B32E0306,001,32EP7804,166611,472965,505,,547,364,314,1996/09/12,2006/11/06
B32E0306,001,32EP7804,166611,472965,537,,575,-124,-224,2006/11/06,2013/04/08

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B32E0306,001,1991/06/15 00:00:00,7,
B32E0306,001,1991/06/30 00:00:00,,O
B32E0306,001,1991/07/15 00:00:00,20,
B32E0306,001,1991/07/31 00:00:00,45,
B32E0306,001,1991/08/15 00:00:00,76,
B32E0306,001,1991/08/30 00:00:00,89,
B32E0306,001,1991/09/16 00:00:00,89,
B32E0306,001,1991/09/30 00:00:00,48,
B32E0306,001,1991/10/16 00:00:00,51,
B32E0306,001,1991/10/31 00:00:00,51,
B32E0306,001,1991/11/15 00:00:00,,O
B32E0306,001,1991/11/28 00:00:00,,O
B32E0306,001,1991/12/15 00:00:00,17,
B32E0306,001,1991/12/30 00:00:00,,O
B32E0306,001,1992/01/15 00:00:00,,O
B32E0306,001,1992/01/30 00:00:00,,O
B32E0306,001,1992/02/15 00:00:00,,O
B32E0306,001,1992/02/28 00:00:00,,O
B32E0306,001,1992/03/15 00:00:00,,O
B32E0306,001,1992/03/31 00:00:00,,O
B32E0306,001,1992/04/15 00:00:00,,O
B32E0306,001,1992/04/29 00:00:00,,O
B32E0306,001,1992/05/14 00:00:00,0,
B32E0306,001,1992/05/29 00:00:00,61,
B32E0306,001,1992/06/15 00:00:00,60,
B32E0306,001,1992/06/30 00:00:00,72,
B32E0306,001,1992/07/16 00:00:00,62,
B32E0306,001,1992/07/30 00:00:00,81,
B32E0306,001,1992/08/14 00:00:00,,O
B32E0306,001,1992/08/28 00:00:00,37,
B32E0306,001,1992/09/15 00:00:00,53,
B32E0306,001,1992/09/30 00:00:00,40,
B32E0306,001,1992/10/15 00:00:00,15,
B32E0306,001,1992/10/30 00:00:00,9,
B32E0306,001,1992/11/16 00:00:00,5,
B32E0306,001,1992/11/30 00:00:00,10,
B32E0306,001,1992/12/16 00:00:00,,Y
B32E0306,001,1992/12/30 00:00:00,,Y
B32E0306,001,1993/01/15 00:00:00,,O
B32E0306,001,1993/01/30 00:00:00,,O
B32E0306,001,1993/02/15 00:00:00,,O
B32E0306,001,1993/02/27 00:00:00,,O
B32E0306,001,1993/03/16 00:00:00,10,
B32E0306,001,1993/03/30 00:00:00,15,
B32E0306,001,1993/04/15 00:00:00,20,
B32E0306,001,1993/04/30 00:00:00,23,
B32E0306,001,1993/05/15 00:00:00,18,
B32E0306,001,1993/05/30 00:00:00,22,
B32E0306,001,1993/06/15 00:00:00,63,
B32E0306,001,1993/06/30 00:00:00,68,
B32E0306,001,1993/07/15 00:00:00,50,
B32E0306,001,1993/07/30 00:00:00,13,
B32E0306,001,1993/08/15 00:00:00,15,
B32E0306,001,1993/08/30 00:00:00,20,
B32E0306,001,1993/09/15 00:00:00,10,
B32E0306,001,1993/09/30 00:00:00,,N
B32E0306,001,1993/10/15 00:00:00,10,
B32E0306,001,1993/10/30 00:00:00,10,
B32E0306,001,1993/11/15 00:00:00,10,
B32E0306,001,1993/11/30 00:00:00,10,
B32E0306,001,1993/12/15 00:00:00,,O
B32E0306,001,1993/12/30 00:00:00,,O
B32E0306,001,1994/01/14 00:00:00,,O
B32E0306,001,1994/01/31 00:00:00,,O
B32E0306,001,1994/02/15 00:00:00,,Y
B32E0306,001,1994/02/28 00:00:00,,Y
B32E0306,001,1994/03/15 00:00:00,10,
B32E0306,001,1994/03/31 00:00:00,10,
B32E0306,001,1994/04/15 00:00:00,,O
B32E0306,001,1994/04/29 00:00:00,,O
B32E0306,001,1994/05/16 00:00:00,,O
B32E0306,001,1994/05/31 00:00:00,24,
B32E0306,001,1994/06/16 00:00:00,24,
B32E0306,001,1994/06/30 00:00:00,35,
B32E0306,001,1994/07/16 00:00:00,63,
B32E0306,001,1994/07/30 00:00:00,56,
B32E0306,001,1994/08/30 00:00:00,65,
B32E0306,001,1994/09/16 00:00:00,46,
B32E0306,001,1994/09/29 00:00:00,2,
B32E0306,001,1994/10/14 00:00:00,0,
B32E0306,001,1994/10/31 00:00:00,-11,
B32E0306,001,1994/11/15 00:00:00,-4,
B32E0306,001,1994/11/30 00:00:00,-3,
B32E0306,001,1994/12/15 00:00:00,-5,
B32E0306,001,1994/12/30 00:00:00,-5,
B32E0306,001,1995/01/16 00:00:00,-3,
B32E0306,001,1995/01/30 00:00:00,-5,
B32E0306,001,1995/02/15 00:00:00,-4,
B32E0306,001,1995/02/28 00:00:00,-4,
B32E0306,001,1995/03/15 00:00:00,-4,
B32E0306,001,1995/03/30 00:00:00,0,
B32E0306,001,1995/04/14 00:00:00,-1,
B32E0306,001,1995/04/28 00:00:00,7,
B32E0306,001,1995/05/15 00:00:00,30,
B32E0306,001,1995/05/30 00:00:00,0,
B32E0306,001,1995/06/15 00:00:00,-14,
B32E0306,001,1995/06/30 00:00:00,,D
B32E0306,001,1995/07/14 00:00:00,61,
B32E0306,001,1995/07/31 00:00:00,74,
B32E0306,001,1995/08/15 00:00:00,93,
B32E0306,001,1995/08/28 00:00:00,,N
B32E0306,001,1995/09/15 00:00:00,81,
B32E0306,001,1995/09/29 00:00:00,37,
B32E0306,001,1995/10/15 00:00:00,49,
B32E0306,001,1995/10/30 00:00:00,54,
B32E0306,001,1995/11/15 00:00:00,49,
B32E0306,001,1995/11/30 00:00:00,42,
B32E0306,001,1995/12/15 00:00:00,47,
B32E0306,001,1995/12/30 00:00:00,40,
B32E0306,001,1996/01/15 00:00:00,22,
B32E0306,001,1996/01/30 00:00:00,47,
B32E0306,001,1996/02/14 00:00:00,16,
B32E0306,001,1996/02/29 00:00:00,-2,
B32E0306,001,1996/03/15 00:00:00,10,
B32E0306,001,1996/03/29 00:00:00,16,
B32E0306,001,1996/04/15 00:00:00,22,
B32E0306,001,1996/04/29 00:00:00,21,
B32E0306,001,1996/05/15 00:00:00,48,
B32E0306,001,1996/09/13 00:00:00,51,
B32E0306,001,1996/09/30 00:00:00,65,
B32E0306,001,1996/10/14 00:00:00,51,
B32E0306,001,1996/10/28 00:00:00,7,
B32E0306,001,1996/11/14 00:00:00,-2,
B32E0306,001,1996/11/29 00:00:00,-3,
B32E0306,001,1996/12/13 00:00:00,-1,
B32E0306,001,1996/12/30 00:00:00,,N
B32E0306,001,1997/01/14 00:00:00,-3,
B32E0306,001,1997/01/28 00:00:00,-2,
B32E0306,001,1997/02/14 00:00:00,-4,
B32E0306,001,1997/02/28 00:00:00,-4,
B32E0306,001,1997/03/14 00:00:00,0,
B32E0306,001,1997/03/28 00:00:00,1,
B32E0306,001,1997/04/14 00:00:00,20,
B32E0306,001,1997/04/28 00:00:00,10,
B32E0306,001,1997/05/14 00:00:00,-1,
B32E0306,001,1997/05/28 00:00:00,15,
B32E0306,001,1997/06/13 00:00:00,42,
B32E0306,001,1997/06/27 00:00:00,10,
B32E0306,001,1997/07/14 00:00:00,40,
B32E0306,001,1997/07/28 00:00:00,20,
B32E0306,001,1997/08/14 00:00:00,61,
B32E0306,001,1997/08/28 00:00:00,22,
B32E0306,001,1997/09/15 00:00:00,48,
B32E0306,001,1997/09/29 00:00:00,72,
B32E0306,001,1997/10/14 00:00:00,7,
B32E0306,001,1997/10/28 00:00:00,25,
B32E0306,001,1997/11/14 00:00:00,23,
B32E0306,001,1997/11/28 00:00:00,21,
B32E0306,001,1997/12/15 00:00:00,2,
B32E0306,001,1997/12/29 00:00:00,-5,
B32E0306,001,1998/01/15 00:00:00,-4,
B32E0306,001,1998/01/28 00:00:00,-2,
B32E0306,001,1998/02/16 00:00:00,5,
B32E0306,001,1998/02/28 00:00:00,-6,
B32E0306,001,1998/03/13 00:00:00,-5,
B32E0306,001,1998/03/27 00:00:00,-3,
B32E0306,001,1998/04/14 00:00:00,-4,
B32E0306,001,1998/04/28 00:00:00,-2,
B32E0306,001,1998/05/14 00:00:00,21,
B32E0306,001,1998/05/28 00:00:00,8,
B32E0306,001,1998/06/15 00:00:00,-12,
B32E0306,001,1998/06/29 00:00:00,-2,
B32E0306,001,1998/07/14 00:00:00,12,
B32E0306,001,1998/07/28 00:00:00,26,
B32E0306,001,1998/08/15 00:00:00,52,
B32E0306,001,1998/08/28 00:00:00,13,
B32E0306,001,1998/09/14 00:00:00,-9,
B32E0306,001,1998/09/28 00:00:00,0,
B32E0306,001,1998/10/14 00:00:00,-5,
B32E0306,001,1998/10/28 00:00:00,-5,
B32E0306,001,1998/11/16 00:00:00,0,
B32E0306,001,1998/11/27 00:00:00,5,
B32E0306,001,1998/12/14 00:00:00,-8,
B32E0306,001,1998/12/28 00:00:00,,N
B32E0306,001,1999/01/14 00:00:00,-7,
B32E0306,001,1999/01/28 00:00:00,-5,
B32E0306,001,1999/02/15 00:00:00,-8,
B32E0306,001,1999/02/26 00:00:00,-9,
B32E0306,001,1999/03/15 00:00:00,-4,
B32E0306,001,1999/03/29 00:00:00,-2,
B32E0306,001,1999/04/14 00:00:00,-4,
B32E0306,001,1999/04/28 00:00:00,10,
B32E0306,001,1999/05/14 00:00:00,17,
B32E0306,001,1999/05/28 00:00:00,9,
B32E0306,001,1999/06/14 00:00:00,17,
B32E0306,001,1999/06/28 00:00:00,43,
B32E0306,001,1999/07/14 00:00:00,43,
B32E0306,001,1999/07/28 00:00:00,79,
B32E0306,001,1999/08/13 00:00:00,83,
B32E0306,001,1999/08/27 00:00:00,70,
B32E0306,001,1999/09/14 00:00:00,84,
B32E0306,001,1999/09/28 00:00:00,45,
B32E0306,001,1999/10/14 00:00:00,57,
B32E0306,001,1999/10/28 00:00:00,54,
B32E0306,001,1999/11/15 00:00:00,34,
B32E0306,001,1999/11/29 00:00:00,21,
B32E0306,001,1999/12/14 00:00:00,7,
B32E0306,001,1999/12/28 00:00:00,-5,
B32E0306,001,2000/01/14 00:00:00,-1,
B32E0306,001,2000/01/28 00:00:00,0,
B32E0306,001,2000/02/14 00:00:00,-4,
B32E0306,001,2000/02/28 00:00:00,-15,
B32E0306,001,2000/03/14 00:00:00,-3,
B32E0306,001,2000/03/28 00:00:00,-5,
B32E0306,001,2000/04/14 00:00:00,-2,
B32E0306,001,2000/04/28 00:00:00,2,
B32E0306,001,2000/05/15 00:00:00,11,
B32E0306,001,2000/05/29 00:00:00,-1,
B32E0306,001,2000/06/28 00:00:00,56,
B32E0306,001,2000/07/14 00:00:00,9,
