Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B32E0314,002,32EP7813,165438,472750,218,,220,129,79,1997/05/28,2001/11/29

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B32E0314,002,1997/05/28 00:00:00,19,
B32E0314,002,1997/06/13 00:00:00,56,
B32E0314,002,1997/06/27 00:00:00,5,
B32E0314,002,1997/07/14 00:00:00,34,
B32E0314,002,1997/07/28 00:00:00,18,
B32E0314,002,1997/08/14 00:00:00,73,
B32E0314,002,1997/08/28 00:00:00,27,
B32E0314,002,1997/09/15 00:00:00,37,
B32E0314,002,1997/09/29 00:00:00,61,
B32E0314,002,1997/10/14 00:00:00,4,
B32E0314,002,1997/10/28 00:00:00,16,
B32E0314,002,1997/11/14 00:00:00,14,
B32E0314,002,1997/11/28 00:00:00,7,
B32E0314,002,1997/12/15 00:00:00,5,
B32E0314,002,1997/12/29 00:00:00,,O
B32E0314,002,1998/01/15 00:00:00,1,
B32E0314,002,1998/01/28 00:00:00,3,
B32E0314,002,1998/02/16 00:00:00,11,
B32E0314,002,1998/02/28 00:00:00,5,
B32E0314,002,1998/03/13 00:00:00,2,
B32E0314,002,1998/03/27 00:00:00,1,
B32E0314,002,1998/04/14 00:00:00,,O
B32E0314,002,1998/04/28 00:00:00,3,
B32E0314,002,1998/05/14 00:00:00,38,
B32E0314,002,1998/05/28 00:00:00,3,
B32E0314,002,1998/06/15 00:00:00,3,
B32E0314,002,1998/06/29 00:00:00,12,
B32E0314,002,1998/07/14 00:00:00,23,
B32E0314,002,1998/07/28 00:00:00,46,
B32E0314,002,1998/08/15 00:00:00,65,
B32E0314,002,1998/08/28 00:00:00,27,
B32E0314,002,1998/09/14 00:00:00,8,
B32E0314,002,1998/09/28 00:00:00,9,
B32E0314,002,1998/10/14 00:00:00,3,
B32E0314,002,1998/10/28 00:00:00,,O
B32E0314,002,1998/11/16 00:00:00,0,
B32E0314,002,1998/11/27 00:00:00,5,
B32E0314,002,1998/12/14 00:00:00,,O
B32E0314,002,1998/12/28 00:00:00,,N
B32E0314,002,1999/01/14 00:00:00,2,
B32E0314,002,1999/01/28 00:00:00,3,
B32E0314,002,1999/02/15 00:00:00,2,
B32E0314,002,1999/02/26 00:00:00,,O
B32E0314,002,1999/03/15 00:00:00,6,
B32E0314,002,1999/03/29 00:00:00,4,
B32E0314,002,1999/04/14 00:00:00,1,
B32E0314,002,1999/04/28 00:00:00,20,
B32E0314,002,1999/05/14 00:00:00,37,
B32E0314,002,1999/05/28 00:00:00,53,
B32E0314,002,1999/06/14 00:00:00,34,
B32E0314,002,1999/06/28 00:00:00,64,
B32E0314,002,1999/07/14 00:00:00,64,
B32E0314,002,1999/07/28 00:00:00,91,
B32E0314,002,1999/08/13 00:00:00,66,
B32E0314,002,1999/08/27 00:00:00,91,
B32E0314,002,1999/09/14 00:00:00,81,
B32E0314,002,1999/09/28 00:00:00,71,
B32E0314,002,1999/10/14 00:00:00,62,
B32E0314,002,1999/10/28 00:00:00,58,
B32E0314,002,1999/11/15 00:00:00,25,
B32E0314,002,1999/11/29 00:00:00,16,
B32E0314,002,1999/12/14 00:00:00,2,
B32E0314,002,1999/12/28 00:00:00,1,
B32E0314,002,2000/01/14 00:00:00,2,
B32E0314,002,2000/01/28 00:00:00,6,
B32E0314,002,2000/02/14 00:00:00,2,
B32E0314,002,2000/02/28 00:00:00,1,
B32E0314,002,2000/03/14 00:00:00,3,
B32E0314,002,2000/03/28 00:00:00,4,
B32E0314,002,2000/04/14 00:00:00,6,
B32E0314,002,2000/04/28 00:00:00,9,
B32E0314,002,2000/05/15 00:00:00,2,
B32E0314,002,2000/05/29 00:00:00,2,
B32E0314,002,2000/06/14 00:00:00,38,
B32E0314,002,2000/06/28 00:00:00,75,
B32E0314,002,2000/07/14 00:00:00,8,
B32E0314,002,2000/07/28 00:00:00,18,
B32E0314,002,2000/08/14 00:00:00,66,
B32E0314,002,2000/08/28 00:00:00,58,
B32E0314,002,2000/11/14 00:00:00,1,
B32E0314,002,2000/11/28 00:00:00,2,
B32E0314,002,2001/01/15 00:00:00,2,
B32E0314,002,2001/01/29 00:00:00,0,
B32E0314,002,2001/02/14 00:00:00,0,
B32E0314,002,2001/02/28 00:00:00,2,
B32E0314,002,2001/04/14 00:00:00,,N
B32E0314,002,2001/04/28 00:00:00,,N
B32E0314,002,2001/05/14 00:00:00,,N
B32E0314,002,2001/05/28 00:00:00,33,
B32E0314,002,2001/07/14 00:00:00,23,
B32E0314,002,2001/07/28 00:00:00,14,
B32E0314,002,2001/08/14 00:00:00,9,
B32E0314,002,2001/08/28 00:00:00,7,
B32E0314,002,2001/09/14 00:00:00,,N
B32E0314,002,2001/09/28 00:00:00,,N
B32E0314,002,2001/10/14 00:00:00,,N
B32E0314,002,2001/10/28 00:00:00,,N
B32E0314,002,2001/11/14 00:00:00,,N
B32E0314,002,2001/11/28 00:00:00,,O
