Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B32E1095,001,,162205,474126,-28,,-10,-205,,2008/04/01,2017/11/29

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B32E1095,001,2012/11/26 16:00:00,50,
B32E1095,001,2012/11/27 12:00:00,49,
B32E1095,001,2012/11/28 12:00:00,49,
B32E1095,001,2012/11/29 12:00:00,50,
B32E1095,001,2012/11/30 12:00:00,51,
B32E1095,001,2012/12/01 12:00:00,51,
B32E1095,001,2012/12/02 12:00:00,50,
B32E1095,001,2012/12/03 12:00:00,50,
B32E1095,001,2012/12/04 12:00:00,49,
B32E1095,001,2012/12/05 12:00:00,51,
B32E1095,001,2012/12/06 12:00:00,53,
B32E1095,001,2012/12/07 12:00:00,52,
B32E1095,001,2012/12/08 12:00:00,56,
B32E1095,001,2012/12/09 12:00:00,50,
B32E1095,001,2012/12/10 12:00:00,52,
B32E1095,001,2012/12/11 12:00:00,54,
B32E1095,001,2012/12/12 12:00:00,52,
B32E1095,001,2012/12/13 12:00:00,53,
B32E1095,001,2012/12/14 12:00:00,51,
B32E1095,001,2012/12/15 12:00:00,51,
B32E1095,001,2012/12/16 12:00:00,51,
B32E1095,001,2012/12/17 12:00:00,50,
B32E1095,001,2012/12/18 12:00:00,51,
B32E1095,001,2012/12/19 12:00:00,52,
B32E1095,001,2012/12/20 12:00:00,49,
B32E1095,001,2012/12/21 12:00:00,49,
B32E1095,001,2012/12/22 12:00:00,49,
B32E1095,001,2012/12/23 12:00:00,47,
B32E1095,001,2012/12/24 12:00:00,46,
B32E1095,001,2012/12/25 12:00:00,47,
B32E1095,001,2012/12/26 12:00:00,45,
B32E1095,001,2012/12/27 12:00:00,45,
B32E1095,001,2012/12/28 12:00:00,47,
B32E1095,001,2012/12/29 12:00:00,45,
B32E1095,001,2012/12/30 12:00:00,45,
B32E1095,001,2012/12/31 12:00:00,46,
B32E1095,001,2013/01/01 12:00:00,44,
B32E1095,001,2013/01/02 12:00:00,46,
B32E1095,001,2013/01/03 12:00:00,46,
B32E1095,001,2013/01/04 12:00:00,46,
B32E1095,001,2013/01/05 12:00:00,46,
B32E1095,001,2013/01/06 12:00:00,46,
B32E1095,001,2013/01/07 12:00:00,46,
B32E1095,001,2013/01/08 12:00:00,46,
B32E1095,001,2013/01/09 12:00:00,45,
B32E1095,001,2013/01/10 12:00:00,45,
B32E1095,001,2013/01/11 12:00:00,46,
B32E1095,001,2013/01/12 12:00:00,46,
B32E1095,001,2013/01/13 12:00:00,47,
B32E1095,001,2013/01/14 12:00:00,50,
B32E1095,001,2013/01/15 12:00:00,54,
B32E1095,001,2013/01/16 12:00:00,58,
B32E1095,001,2013/01/17 12:00:00,62,
B32E1095,001,2013/01/18 12:00:00,64,
B32E1095,001,2013/01/19 12:00:00,65,
B32E1095,001,2013/01/20 12:00:00,67,
B32E1095,001,2013/01/21 12:00:00,69,
B32E1095,001,2013/01/22 12:00:00,73,
B32E1095,001,2013/01/23 12:00:00,73,
B32E1095,001,2013/01/24 12:00:00,76,
B32E1095,001,2013/01/25 12:00:00,79,
B32E1095,001,2013/01/26 12:00:00,80,
B32E1095,001,2013/01/27 12:00:00,56,
B32E1095,001,2013/01/28 12:00:00,51,
B32E1095,001,2013/01/29 12:00:00,48,
B32E1095,001,2013/01/30 12:00:00,46,
B32E1095,001,2013/01/31 12:00:00,48,
B32E1095,001,2013/02/01 12:00:00,46,
B32E1095,001,2013/02/02 12:00:00,46,
B32E1095,001,2013/02/03 12:00:00,48,
B32E1095,001,2013/02/04 12:00:00,46,
B32E1095,001,2013/02/05 12:00:00,45,
B32E1095,001,2013/02/06 12:00:00,42,
B32E1095,001,2013/02/07 12:00:00,43,
B32E1095,001,2013/02/08 12:00:00,43,
B32E1095,001,2013/02/09 12:00:00,46,
B32E1095,001,2013/02/10 12:00:00,45,
B32E1095,001,2013/02/11 12:00:00,45,
B32E1095,001,2013/02/12 12:00:00,47,
B32E1095,001,2013/02/13 12:00:00,47,
B32E1095,001,2013/02/14 12:00:00,47,
B32E1095,001,2013/02/15 12:00:00,47,
B32E1095,001,2013/02/16 12:00:00,46,
B32E1095,001,2013/02/17 12:00:00,46,
B32E1095,001,2013/02/18 12:00:00,46,
B32E1095,001,2013/02/19 12:00:00,46,
B32E1095,001,2013/02/20 12:00:00,46,
B32E1095,001,2013/02/21 12:00:00,47,
B32E1095,001,2013/02/22 12:00:00,50,
B32E1095,001,2013/02/23 12:00:00,56,
B32E1095,001,2013/02/24 12:00:00,62,
B32E1095,001,2013/02/25 12:00:00,65,
B32E1095,001,2013/02/26 12:00:00,52,
B32E1095,001,2013/02/27 12:00:00,51,
B32E1095,001,2013/02/28 12:00:00,50,
B32E1095,001,2013/03/01 12:00:00,49,
B32E1095,001,2013/03/02 12:00:00,50,
B32E1095,001,2013/03/03 12:00:00,49,
B32E1095,001,2013/03/04 12:00:00,50,
B32E1095,001,2013/03/05 12:00:00,51,
B32E1095,001,2013/03/06 12:00:00,51,
B32E1095,001,2013/03/07 12:00:00,53,
B32E1095,001,2013/03/08 12:00:00,55,
B32E1095,001,2013/03/09 12:00:00,48,
B32E1095,001,2013/03/10 12:00:00,45,
B32E1095,001,2013/03/11 12:00:00,48,
B32E1095,001,2013/03/12 12:00:00,49,
B32E1095,001,2013/03/13 12:00:00,53,
B32E1095,001,2013/03/14 12:00:00,51,
B32E1095,001,2013/03/15 12:00:00,53,
B32E1095,001,2013/03/16 12:00:00,50,
B32E1095,001,2013/03/17 12:00:00,49,
B32E1095,001,2013/03/18 12:00:00,49,
B32E1095,001,2013/03/19 12:00:00,51,
B32E1095,001,2013/03/20 12:00:00,51,
B32E1095,001,2013/03/21 12:00:00,53,
B32E1095,001,2013/03/22 12:00:00,54,
