Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B32F0006,001,32FP0006,170230,472400,1634,,1677,-3276,-3376,1954/12/14,1998/02/01
B32F0006,001,32FP0006,170230,472400,1634,,1676,-3276,-3376,1998/02/01,2003/10/30
B32F0006,001,32FP0006,170230,472400,1634,,1671,-3276,-3376,2003/10/30,2013/01/23

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B32F0006,001,1962/04/27 00:00:00,194,
B32F0006,001,1962/09/06 00:00:00,212,
B32F0006,001,1962/10/29 00:00:00,204,
B32F0006,001,1962/12/18 00:00:00,215,
B32F0006,001,1963/04/26 00:00:00,230,
B32F0006,001,1963/08/29 00:00:00,244,
B32F0006,001,1963/10/17 00:00:00,240,
B32F0006,001,1963/12/17 00:00:00,238,
B32F0006,001,1964/05/01 00:00:00,245,
B32F0006,001,1964/08/26 00:00:00,272,
B32F0006,001,1964/10/14 00:00:00,276,
B32F0006,001,1964/12/14 00:00:00,290,
B32F0006,001,1965/04/26 00:00:00,283,
B32F0006,001,1965/09/02 00:00:00,268,
B32F0006,001,1965/10/14 00:00:00,262,
B32F0006,001,1965/12/13 00:00:00,262,
B32F0006,001,1966/02/16 00:00:00,234,
B32F0006,001,1966/05/03 00:00:00,201,
B32F0006,001,1966/08/29 00:00:00,178,
B32F0006,001,1966/10/13 00:00:00,181,
B32F0006,001,1966/12/13 00:00:00,187,
B32F0006,001,1967/05/02 00:00:00,164,
B32F0006,001,1967/08/30 00:00:00,189,
B32F0006,001,1967/10/13 00:00:00,204,
B32F0006,001,1967/12/15 00:00:00,118,
B32F0006,001,1968/03/14 00:00:00,207,
B32F0006,001,1968/03/28 00:00:00,207,
B32F0006,001,1968/04/16 00:00:00,207,
B32F0006,001,1968/04/29 00:00:00,209,
B32F0006,001,1968/05/14 00:00:00,211,
B32F0006,001,1968/05/28 00:00:00,211,
B32F0006,001,1968/06/14 00:00:00,214,
B32F0006,001,1968/06/28 00:00:00,216,
B32F0006,001,1968/07/15 00:00:00,219,
B32F0006,001,1968/07/29 00:00:00,222,
B32F0006,001,1968/08/14 00:00:00,227,
B32F0006,001,1968/08/28 00:00:00,230,
B32F0006,001,1968/09/16 00:00:00,234,
B32F0006,001,1968/10/01 00:00:00,238,
B32F0006,001,1968/10/15 00:00:00,239,
B32F0006,001,1968/11/14 00:00:00,235,
B32F0006,001,1968/11/28 00:00:00,235,
B32F0006,001,1968/12/16 00:00:00,235,
B32F0006,001,1968/12/27 00:00:00,235,
B32F0006,001,1969/01/15 00:00:00,237,
B32F0006,001,1969/02/03 00:00:00,237,
B32F0006,001,1969/02/13 00:00:00,237,
B32F0006,001,1969/02/28 00:00:00,240,
B32F0006,001,1969/03/14 00:00:00,239,
B32F0006,001,1969/03/31 00:00:00,240,
B32F0006,001,1969/04/16 00:00:00,238,
B32F0006,001,1969/04/28 00:00:00,237,
B32F0006,001,1969/05/14 00:00:00,236,
B32F0006,001,1969/05/28 00:00:00,236,
B32F0006,001,1969/06/16 00:00:00,235,
B32F0006,001,1969/06/26 00:00:00,236,
B32F0006,001,1969/07/15 00:00:00,235,
B32F0006,001,1969/07/29 00:00:00,239,
B32F0006,001,1969/08/14 00:00:00,239,
B32F0006,001,1969/08/29 00:00:00,242,
B32F0006,001,1969/09/16 00:00:00,243,
B32F0006,001,1969/09/29 00:00:00,247,
B32F0006,001,1969/10/14 00:00:00,248,
B32F0006,001,1969/10/28 00:00:00,251,
B32F0006,001,1969/11/17 00:00:00,252,
B32F0006,001,1969/12/01 00:00:00,256,
B32F0006,001,1969/12/15 00:00:00,262,
B32F0006,001,1969/12/29 00:00:00,262,
B32F0006,001,1970/01/14 00:00:00,269,
B32F0006,001,1970/01/28 00:00:00,272,
B32F0006,001,1970/02/16 00:00:00,276,
B32F0006,001,1970/03/02 00:00:00,278,
B32F0006,001,1970/03/16 00:00:00,279,
B32F0006,001,1970/03/31 00:00:00,277,
B32F0006,001,1970/04/14 00:00:00,276,
B32F0006,001,1970/04/28 00:00:00,274,
B32F0006,001,1970/05/14 00:00:00,273,
B32F0006,001,1970/05/28 00:00:00,272,
B32F0006,001,1970/06/15 00:00:00,274,
B32F0006,001,1970/06/29 00:00:00,274,
B32F0006,001,1970/07/16 00:00:00,275,
B32F0006,001,1970/07/28 00:00:00,278,
B32F0006,001,1970/08/14 00:00:00,283,
B32F0006,001,1970/08/27 00:00:00,448,
B32F0006,001,1970/09/14 00:00:00,287,
B32F0006,001,1970/09/28 00:00:00,289,
B32F0006,001,1970/10/14 00:00:00,292,
B32F0006,001,1970/10/29 00:00:00,297,
B32F0006,001,1970/11/13 00:00:00,298,
B32F0006,001,1970/11/30 00:00:00,299,
B32F0006,001,1970/12/14 00:00:00,301,
B32F0006,001,1970/12/28 00:00:00,299,
B32F0006,001,1971/01/14 00:00:00,300,
B32F0006,001,1971/01/28 00:00:00,301,
B32F0006,001,1971/02/15 00:00:00,301,
B32F0006,001,1971/03/01 00:00:00,300,
B32F0006,001,1971/03/15 00:00:00,300,
B32F0006,001,1971/03/29 00:00:00,299,
B32F0006,001,1971/04/14 00:00:00,299,
B32F0006,001,1971/04/28 00:00:00,298,
B32F0006,001,1971/05/16 00:00:00,299,
B32F0006,001,1971/05/28 00:00:00,298,
B32F0006,001,1971/06/14 00:00:00,301,
B32F0006,001,1971/06/28 00:00:00,303,
B32F0006,001,1971/07/14 00:00:00,305,
B32F0006,001,1971/07/28 00:00:00,307,
B32F0006,001,1971/08/16 00:00:00,310,
B32F0006,001,1971/08/27 00:00:00,311,
B32F0006,001,1971/09/15 00:00:00,315,
B32F0006,001,1971/09/28 00:00:00,319,
B32F0006,001,1971/10/14 00:00:00,321,
B32F0006,001,1971/10/28 00:00:00,325,
B32F0006,001,1971/11/15 00:00:00,330,
B32F0006,001,1971/12/01 00:00:00,334,
B32F0006,001,1971/12/15 00:00:00,339,
B32F0006,001,1971/12/28 00:00:00,344,
B32F0006,001,1972/01/17 00:00:00,346,
B32F0006,001,1972/01/28 00:00:00,346,
B32F0006,001,1972/02/15 00:00:00,357,
B32F0006,001,1972/02/28 00:00:00,361,
B32F0006,001,1972/03/14 00:00:00,358,
B32F0006,001,1972/03/28 00:00:00,370,
B32F0006,001,1972/04/14 00:00:00,375,
B32F0006,001,1972/04/28 00:00:00,378,
B32F0006,001,1972/05/16 00:00:00,374,
B32F0006,001,1972/05/30 00:00:00,379,
B32F0006,001,1972/06/14 00:00:00,383,
B32F0006,001,1972/06/29 00:00:00,385,
B32F0006,001,1972/07/17 00:00:00,387,
B32F0006,001,1972/07/28 00:00:00,388,
B32F0006,001,1972/08/15 00:00:00,381,
B32F0006,001,1972/08/28 00:00:00,393,
B32F0006,001,1972/09/14 00:00:00,395,
B32F0006,001,1972/09/28 00:00:00,397,
B32F0006,001,1972/10/13 00:00:00,399,
B32F0006,001,1972/10/30 00:00:00,401,
B32F0006,001,1972/11/14 00:00:00,404,
