Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B32F0020,001,32FP0020,170760,472670,1896,,1944,-2604,-2704,1955/01/28,1998/02/01
B32F0020,001,32FP0020,170760,472670,1896,,1939,-2604,-2704,1998/02/01,2013/01/23

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B32F0020,001,1962/04/27 00:00:00,295,
B32F0020,001,1962/09/06 00:00:00,343,
B32F0020,001,1962/10/29 00:00:00,368,
B32F0020,001,1962/12/18 00:00:00,386,
B32F0020,001,1963/04/26 00:00:00,384,
B32F0020,001,1963/08/29 00:00:00,405,
B32F0020,001,1963/10/17 00:00:00,381,
B32F0020,001,1963/12/17 00:00:00,371,
B32F0020,001,1964/05/01 00:00:00,421,
B32F0020,001,1964/08/26 00:00:00,458,
B32F0020,001,1964/10/14 00:00:00,472,
B32F0020,001,1964/12/14 00:00:00,483,
B32F0020,001,1965/04/26 00:00:00,445,
B32F0020,001,1965/09/02 00:00:00,421,
B32F0020,001,1965/10/14 00:00:00,411,
B32F0020,001,1965/12/15 00:00:00,412,
B32F0020,001,1966/02/16 00:00:00,337,
B32F0020,001,1966/05/03 00:00:00,297,
B32F0020,001,1966/05/16 00:00:00,337,
B32F0020,001,1966/08/29 00:00:00,315,
B32F0020,001,1966/10/13 00:00:00,349,
B32F0020,001,1966/12/13 00:00:00,340,
B32F0020,001,1967/05/02 00:00:00,317,
B32F0020,001,1967/08/30 00:00:00,395,
B32F0020,001,1967/10/13 00:00:00,420,
B32F0020,001,1967/12/15 00:00:00,413,
B32F0020,001,1968/04/29 00:00:00,387,
B32F0020,001,1968/08/28 00:00:00,436,
B32F0020,001,1968/10/15 00:00:00,428,
B32F0020,001,1968/12/16 00:00:00,418,
B32F0020,001,1969/04/28 00:00:00,412,
B32F0020,001,1969/08/29 00:00:00,444,
B32F0020,001,1969/10/14 00:00:00,450,
B32F0020,001,1969/12/15 00:00:00,480,
B32F0020,001,1970/04/28 00:00:00,448,
B32F0020,001,1970/08/27 00:00:00,483,
B32F0020,001,1970/10/14 00:00:00,499,
B32F0020,001,1970/12/14 00:00:00,488,
B32F0020,001,1971/04/28 00:00:00,485,
B32F0020,001,1971/08/27 00:00:00,520,
B32F0020,001,1971/10/14 00:00:00,538,
B32F0020,001,1971/12/15 00:00:00,562,
B32F0020,001,1972/04/28 00:00:00,604,
B32F0020,001,1972/08/28 00:00:00,613,
B32F0020,001,1972/10/13 00:00:00,618,
B32F0020,001,1972/12/14 00:00:00,629,
B32F0020,001,1973/04/27 00:00:00,624,
B32F0020,001,1973/08/29 00:00:00,637,
B32F0020,001,1973/10/12 00:00:00,647,
B32F0020,001,1973/12/14 00:00:00,649,
B32F0020,001,1974/05/02 00:00:00,621,
B32F0020,001,1974/08/28 00:00:00,647,
B32F0020,001,1974/10/16 00:00:00,652,
B32F0020,001,1974/12/13 00:00:00,624,
B32F0020,001,1975/04/28 00:00:00,548,
