Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-18/12/2017
Datum: 18/12/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B32F0090,001,32FP0090,172460,471810,2356,,2400,956,756,1980/01/11,1998/02/01
B32F0090,001,32FP0090,172460,471810,2356,,2405,956,756,1998/02/01,2013/01/23

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B32F0090,001,1980/04/14 00:00:00,812,
B32F0090,001,1980/04/28 00:00:00,798,
B32F0090,001,1980/05/14 00:00:00,810,
B32F0090,001,1980/05/28 00:00:00,808,
B32F0090,001,1980/06/13 00:00:00,808,
B32F0090,001,1980/06/27 00:00:00,808,
B32F0090,001,1980/07/14 00:00:00,811,
B32F0090,001,1980/07/28 00:00:00,815,
B32F0090,001,1980/08/14 00:00:00,816,
B32F0090,001,1980/08/28 00:00:00,818,
B32F0090,001,1980/09/15 00:00:00,820,
B32F0090,001,1980/09/29 00:00:00,821,
B32F0090,001,1980/10/14 00:00:00,826,
B32F0090,001,1980/10/28 00:00:00,824,
B32F0090,001,1980/11/14 00:00:00,834,
B32F0090,001,1980/11/28 00:00:00,827,
B32F0090,001,1980/12/15 00:00:00,831,
B32F0090,001,1980/12/29 00:00:00,848,
B32F0090,001,1981/01/14 00:00:00,842,
B32F0090,001,1981/01/28 00:00:00,834,
B32F0090,001,1981/02/13 00:00:00,816,
B32F0090,001,1981/02/27 00:00:00,806,
B32F0090,001,1981/03/13 00:00:00,801,
B32F0090,001,1981/03/27 00:00:00,797,
B32F0090,001,1981/04/14 00:00:00,786,
B32F0090,001,1981/04/28 00:00:00,771,
B32F0090,001,1981/05/14 00:00:00,764,
B32F0090,001,1981/05/27 00:00:00,765,
B32F0090,001,1981/06/15 00:00:00,763,
B32F0090,001,1981/06/29 00:00:00,770,
B32F0090,001,1981/07/14 00:00:00,768,
B32F0090,001,1981/07/28 00:00:00,771,
B32F0090,001,1981/08/13 00:00:00,777,
B32F0090,001,1981/08/28 00:00:00,776,
B32F0090,001,1981/09/14 00:00:00,805,
B32F0090,001,1981/09/28 00:00:00,784,
B32F0090,001,1981/10/14 00:00:00,792,
B32F0090,001,1981/10/28 00:00:00,794,
B32F0090,001,1981/11/13 00:00:00,793,
B32F0090,001,1981/11/27 00:00:00,823,
B32F0090,001,1981/12/28 00:00:00,793,
B32F0090,001,1982/01/14 00:00:00,794,
B32F0090,001,1982/01/28 00:00:00,789,
B32F0090,001,1982/02/15 00:00:00,786,
B32F0090,001,1982/03/01 00:00:00,786,
B32F0090,001,1982/03/15 00:00:00,782,
B32F0090,001,1982/03/29 00:00:00,785,
B32F0090,001,1982/04/14 00:00:00,780,
B32F0090,001,1982/04/28 00:00:00,780,
B32F0090,001,1982/05/14 00:00:00,776,
B32F0090,001,1982/05/28 00:00:00,773,
B32F0090,001,1982/06/14 00:00:00,775,
B32F0090,001,1982/06/28 00:00:00,778,
B32F0090,001,1982/07/14 00:00:00,781,
B32F0090,001,1982/07/28 00:00:00,785,
B32F0090,001,1982/08/16 00:00:00,788,
B32F0090,001,1982/08/27 00:00:00,793,
B32F0090,001,1982/09/14 00:00:00,796,
B32F0090,001,1982/09/28 00:00:00,799,
B32F0090,001,1982/10/14 00:00:00,803,
B32F0090,001,1982/10/28 00:00:00,808,
B32F0090,001,1982/11/15 00:00:00,812,
B32F0090,001,1982/11/29 00:00:00,814,
B32F0090,001,1982/12/14 00:00:00,818,
