Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-12-2017,,,,,,,,
Gegevens beschikbaar:,14-09-1981,tot:,24-10-2012,,,,,,,,
Datum: ,18-12-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B32F0108,002,32FP0108,172590,470880,2265,24-08-1981,07-09-1981,01-02-1998,2314,49,-735,-935
B32F0108,002,32FP0108,172590,470880,2265,24-08-1981,01-02-1998,24-10-2012,2319,54,-735,-935


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B32F0108,002,14-09-1981,806,757,1508,,,,,,
B32F0108,002,14-10-1981,811,762,1503,,,,,,
B32F0108,002,28-10-1981,811,762,1503,,,,,,
B32F0108,002,13-11-1981,817,768,1497,,,,,,
B32F0108,002,27-11-1981,820,771,1494,,,,,,
B32F0108,002,28-12-1981,819,770,1495,,,,,,
B32F0108,002,14-01-1982,818,769,1496,,,,,,
B32F0108,002,28-01-1982,812,763,1502,,,,,,
B32F0108,002,15-02-1982,804,755,1510,,,,,,
B32F0108,002,01-03-1982,807,758,1507,,,,,,
B32F0108,002,15-03-1982,806,757,1508,,,,,,
B32F0108,002,29-03-1982,832,783,1482,,,,,,
B32F0108,002,14-04-1982,796,747,1518,,,,,,
B32F0108,002,28-04-1982,793,744,1521,,,,,,
B32F0108,002,14-05-1982,792,743,1522,,,,,,
B32F0108,002,28-05-1982,792,743,1522,,,,,,
B32F0108,002,14-06-1982,793,744,1521,,,,,,
B32F0108,002,28-06-1982,798,749,1516,,,,,,
B32F0108,002,14-07-1982,802,753,1512,,,,,,
B32F0108,002,28-07-1982,809,760,1505,,,,,,
B32F0108,002,16-08-1982,813,764,1501,,,,,,
B32F0108,002,27-08-1982,816,767,1498,,,,,,
